hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P69525|TMPS9_MOUSE	1065	Peptidase_PA.aln	236	5.3e-40	142.9	2.8e-12	2e-09	42.8	32	234	204	437	196	439	0.7	1	3	0.9915254237288136	0.19061032863849764	Peptidase_PA
sp|P69525|TMPS9_MOUSE	1065	Peptidase_PA.aln	236	5.3e-40	142.9	2.7e-11	1.9e-08	39.6	32	231	505	734	483	738	0.69	2	3	0.9745762711864406	0.18779342723004694	Peptidase_PA
sp|P69525|TMPS9_MOUSE	1065	Peptidase_PA.aln	236	5.3e-40	142.9	3e-16	2.1e-13	55.9	19	233	820	1062	804	1063	0.75	3	3	1.0296610169491525	0.20187793427230047	Peptidase_PA
sp|P69526|TMPS9_RAT	1061	Peptidase_PA.aln	236	6.2e-39	139.4	9.7e-11	6.7e-08	37.8	32	234	204	437	196	439	0.68	1	3	0.9915254237288136	0.19132893496701225	Peptidase_PA
sp|P69526|TMPS9_RAT	1061	Peptidase_PA.aln	236	6.2e-39	139.4	1.3e-11	9.1e-09	40.7	32	231	505	734	487	738	0.68	2	3	0.9745762711864406	0.1885014137606032	Peptidase_PA
sp|P69526|TMPS9_RAT	1061	Peptidase_PA.aln	236	6.2e-39	139.4	2.6e-16	1.8e-13	56.1	18	233	815	1058	805	1059	0.74	3	3	1.0338983050847457	0.20358152686145145	Peptidase_PA
sp|Q7Z410|TMPS9_HUMAN	1059	Peptidase_PA.aln	236	3.4e-37	133.7	2.4e-10	1.6e-07	36.6	32	233	202	434	194	436	0.65	1	3	0.9872881355932204	0.1907459867799811	Peptidase_PA
sp|Q7Z410|TMPS9_HUMAN	1059	Peptidase_PA.aln	236	3.4e-37	133.7	7.1e-12	4.9e-09	41.5	32	231	503	732	489	736	0.67	2	3	0.9745762711864406	0.18885741265344666	Peptidase_PA
sp|Q7Z410|TMPS9_HUMAN	1059	Peptidase_PA.aln	236	3.4e-37	133.7	2.2e-14	1.5e-11	49.8	22	232	817	1055	805	1057	0.73	3	3	1.0127118644067796	0.19924457034938622	Peptidase_PA
sp|Q00871|CTRB1_PENVA	271	Peptidase_PA.aln	236	4e-31	113.8	8e-34	5.6e-31	113.4	28	236	41	269	34	269	0.81	1	1	0.9703389830508474	0.7712177121771218	Peptidase_PA
sp|A0A182C2Z2|OVCH_HALRO	1575	Peptidase_PA.aln	236	4.5e-30	110.4	1.3e-10	8.9e-08	37.4	31	232	34	277	6	280	0.65	1	3	1.0338983050847457	0.12825396825396826	Peptidase_PA
sp|A0A182C2Z2|OVCH_HALRO	1575	Peptidase_PA.aln	236	4.5e-30	110.4	2.3e-16	1.6e-13	56.2	25	236	568	811	557	811	0.68	2	3	1.0338983050847457	0.1346031746031746	Peptidase_PA
sp|A0A182C2Z2|OVCH_HALRO	1575	Peptidase_PA.aln	236	4.5e-30	110.4	0.004	2.8	12.9	46	231	1365	1571	1356	1574	0.62	3	3	0.8771186440677966	0.1180952380952381	Peptidase_PA
sp|P52905|TRYI_DROME	252	Peptidase_PA.aln	236	3.7e-29	107.4	6.4e-32	4.4e-29	107.2	11	234	7	249	1	251	0.78	1	1	1.0296610169491525	0.8888888888888888	Peptidase_PA
sp|P36178|CTRB2_PENVA	271	Peptidase_PA.aln	236	3e-28	104.4	6.1e-31	4.2e-28	104.0	28	236	41	269	34	269	0.8	1	1	0.9703389830508474	0.7712177121771218	Peptidase_PA
sp|P35004|TRYB_DROME	253	Peptidase_PA.aln	236	6.5e-28	103.3	1e-30	7.3e-28	103.2	5	233	3	252	1	253	0.76	1	1	1.0593220338983051	0.9051383399209486	Peptidase_PA
sp|P35049|TRYP_FUSOX	248	Peptidase_PA.aln	236	7.7e-27	99.8	1.3e-29	8.8e-27	99.6	14	233	5	247	1	248	0.77	1	1	1.0296610169491525	0.8870967741935484	Peptidase_PA
sp|P04814|TRYA_DROME	256	Peptidase_PA.aln	236	2.6e-26	98.1	4.4e-29	3e-26	97.9	5	234	3	253	1	255	0.75	1	1	1.0635593220338984	0.8984375	Peptidase_PA
sp|P54625|TRYB_DROER	253	Peptidase_PA.aln	236	2.9e-26	97.9	4.7e-29	3.3e-26	97.8	6	233	4	252	1	253	0.75	1	1	1.055084745762712	0.9011857707509882	Peptidase_PA
sp|P54624|TRYA_DROER	256	Peptidase_PA.aln	236	3.5e-26	97.7	5.9e-29	4.1e-26	97.5	5	234	3	253	1	255	0.75	1	1	1.0635593220338984	0.8984375	Peptidase_PA
sp|P51588|TRYP_SARBU	254	Peptidase_PA.aln	236	5e-26	97.2	9.5e-29	6.6e-26	96.8	15	234	6	251	3	252	0.77	1	1	1.0423728813559323	0.8661417322834646	Peptidase_PA
