hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q9LCQ7|OPH_PSESP	379	O-PVA.aln	382	4.1e-247	824.0	3.4e-251	4.6e-247	823.8	1	381	1	379	1	379	1.0	1	1	0.9921465968586387	1.0052770448548813	O-PVA
sp|Q588Z2|OPH_SPHS1	364	O-PVA.aln	382	4.2e-235	784.4	3.8e-239	5.1e-235	784.2	1	382	1	364	1	364	1.0	1	1	0.9528795811518325	1.0494505494505495	O-PVA
sp|Q9HGR3|FAEB_NEUCR	292	O-PVA.aln	382	0.00051	23.8	6.3e-08	0.00084	23.1	173	230	104	161	95	184	0.82	1	1	0.1518324607329843	0.19863013698630136	O-PVA
sp|Q08E20|ESTD_BOVIN	282	O-PVA.aln	382	0.0029	21.3	3.2e-07	0.0042	20.8	75	209	29	153	8	161	0.8	1	1	0.32722513089005234	0.4787234042553192	O-PVA
sp|A1CSZ8|AXE1_ASPCL	308	O-PVA.aln	382	0.006	20.3	8.4e-07	0.011	19.4	159	230	104	176	90	224	0.8	1	1	0.19109947643979058	0.23376623376623376	O-PVA
sp|A9JPE6|AXE1_ASPFL	307	O-PVA.aln	382	0.0073	20.0	8.3e-07	0.011	19.4	158	230	102	175	84	219	0.83	1	1	0.193717277486911	0.23778501628664495	O-PVA
sp|Q75P26|AXE1_ASPOR	307	O-PVA.aln	382	0.0073	20.0	8.3e-07	0.011	19.4	158	230	102	175	84	219	0.83	1	1	0.193717277486911	0.23778501628664495	O-PVA
sp|B8NBI2|AXE1_ASPFN	307	O-PVA.aln	382	0.01	19.5	1.2e-06	0.016	18.9	158	230	102	175	84	219	0.82	1	1	0.193717277486911	0.23778501628664495	O-PVA
sp|Q5B037|AXE1_EMENI	304	O-PVA.aln	382	0.014	19.1	1.9e-06	0.025	18.3	160	230	101	172	94	220	0.78	1	1	0.18848167539267016	0.23355263157894737	O-PVA
sp|P10768|ESTD_HUMAN	282	O-PVA.aln	382	0.015	19.0	1.7e-06	0.023	18.4	74	209	28	153	9	161	0.8	1	1	0.3298429319371728	0.48226950354609927	O-PVA
sp|Q0C8Z1|AXE1_ASPTN	311	O-PVA.aln	382	0.02	18.6	2.5e-06	0.034	17.8	158	260	105	214	99	238	0.68	1	1	0.2879581151832461	0.3311897106109325	O-PVA
sp|Q9GJT2|ESTD_PIG	282	O-PVA.aln	382	0.031	17.9	3.5e-06	0.047	17.4	74	209	29	153	9	161	0.8	1	1	0.32722513089005234	0.48226950354609927	O-PVA
sp|A2QZI3|AXE1_ASPNC	303	O-PVA.aln	382	0.036	17.7	3.8e-06	0.051	17.3	164	230	106	172	93	214	0.79	1	1	0.17539267015706805	0.22112211221122113	O-PVA
sp|A1CC33|FAEC2_ASPCL	272	O-PVA.aln	382	0.037	17.7	3.7e-06	0.05	17.3	162	213	101	152	73	180	0.78	1	1	0.13612565445026178	0.19117647058823528	O-PVA
sp|Q7RWX8|FAED_NEUCR	290	O-PVA.aln	382	0.044	17.5	1.4	18000.0	-1.0	51	91	27	67	14	84	0.75	1	2	0.10732984293193717	0.1413793103448276	O-PVA
sp|Q7RWX8|FAED_NEUCR	290	O-PVA.aln	382	0.044	17.5	1.2e-05	0.16	15.6	164	220	116	172	112	198	0.81	2	2	0.14921465968586387	0.19655172413793104	O-PVA
sp|A1C9D4|FAEC1_ASPCL	272	O-PVA.aln	382	0.071	16.8	7.5e-06	0.1	16.3	162	231	101	170	71	184	0.74	1	1	0.18324607329842932	0.25735294117647056	O-PVA
sp|Q9RRK5|Y2484_DEIRA	267	O-PVA.aln	382	0.071	16.8	1.2	17000.0	-0.9	277	305	34	62	31	69	0.82	1	3	0.07591623036649214	0.10861423220973783	O-PVA
