hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q0K9H3|HBOH_CUPNH	718	3HBOH.aln	718	0.0	1492.2	0.0	0.0	1492.0	1	718	1	718	1	718	1.0	1	1	1.0	1.0	3HBOH
sp|Q46ZT8|HBOH_CUPPJ	707	3HBOH.aln	718	0.0	1149.0	0.0	0.0	1148.7	13	718	6	707	2	707	0.99	1	1	0.9777158774373259	0.9985855728429985	3HBOH
sp|Q1LLY7|HBOH_CUPMC	722	3HBOH.aln	718	3.8e-286	956.0	2.8e-290	4.6e-286	955.7	16	718	22	722	9	722	0.96	1	1	0.9763231197771588	0.9736842105263158	3HBOH
sp|Q9X6X9|HBOH2_RALPI	741	3HBOH.aln	718	1.4e-272	911.2	1.8e-276	3e-272	910.1	15	711	16	730	4	741	0.94	1	1	0.9958217270194986	0.9406207827260459	3HBOH
sp|Q8XZR1|HBOH_RALN1	725	3HBOH.aln	718	2.6e-272	910.2	1.9e-276	3.2e-272	910.0	13	711	11	714	3	725	0.96	1	1	0.9805013927576601	0.9641379310344828	3HBOH
sp|O05690|HBOH1_RALPI	722	3HBOH.aln	718	3.2e-272	909.9	2.4e-276	3.9e-272	909.7	18	711	18	711	4	722	0.94	1	1	0.9665738161559888	0.961218836565097	3HBOH
sp|A1TRI4|HBOH_PARC0	709	3HBOH.aln	718	5.5e-267	892.7	4.1e-271	6.7e-267	892.4	24	718	12	709	2	709	0.95	1	1	0.9721448467966574	0.9802538787023978	3HBOH
sp|Q21U20|HBOH_ALBFT	704	3HBOH.aln	718	4.9e-251	839.9	3.6e-255	5.9e-251	839.7	13	718	6	704	2	704	0.95	1	1	0.9735376044568245	1.0028409090909092	3HBOH
sp|A1VUF3|HBOH_POLNA	706	3HBOH.aln	718	6.9e-251	839.4	5.1e-255	8.3e-251	839.2	13	718	8	706	3	706	0.94	1	1	0.9735376044568245	1.0	3HBOH
sp|Q122D1|HBOH_POLSJ	706	3HBOH.aln	718	2.2e-250	837.8	1.6e-254	2.6e-250	837.5	13	718	6	706	2	706	0.95	1	1	0.9763231197771588	1.0	3HBOH
sp|A1KBP4|HBOH_AZOSB	699	3HBOH.aln	718	4.9e-237	793.7	3.5e-241	5.8e-237	793.4	41	718	23	699	4	699	0.95	1	1	0.9428969359331476	0.9699570815450643	3HBOH
sp|Q13Q76|HBOH_PARXL	707	3HBOH.aln	718	1e-232	779.4	7.6e-237	1.3e-232	779.1	19	718	21	707	13	707	0.94	1	1	0.9568245125348189	0.9900990099009901	3HBOH
sp|A3NCT8|HBOH_BURP6	699	3HBOH.aln	718	8.8e-228	763.1	6.6e-232	1.1e-227	762.8	20	717	15	698	6	699	0.93	1	1	0.9526462395543176	0.9985693848354793	3HBOH
sp|Q3JPD1|HBOH_BURP1	699	3HBOH.aln	718	8.8e-228	763.1	6.6e-232	1.1e-227	762.8	20	717	15	698	6	699	0.93	1	1	0.9526462395543176	0.9985693848354793	3HBOH
sp|Q63RF6|HBOH_BURPS	699	3HBOH.aln	718	8.8e-228	763.1	6.6e-232	1.1e-227	762.8	20	717	15	698	6	699	0.93	1	1	0.9526462395543176	0.9985693848354793	3HBOH
sp|A3NYK1|HBOH_BURP0	699	3HBOH.aln	718	9.5e-228	762.9	7.1e-232	1.2e-227	762.7	20	717	15	698	6	699	0.93	1	1	0.9526462395543176	0.9985693848354793	3HBOH
sp|Q2SYN3|HBOH_BURTA	698	3HBOH.aln	718	1.3e-227	762.5	9.7e-232	1.6e-227	762.2	14	717	9	697	3	698	0.94	1	1	0.9596100278551533	1.008595988538682	3HBOH
sp|Q62I60|HBOH_BURMA	699	3HBOH.aln	718	6.7e-227	760.1	5e-231	8.1e-227	759.9	20	717	15	698	6	699	0.93	1	1	0.9526462395543176	0.9985693848354793	3HBOH
sp|A2S9Q3|HBOH_BURM9	699	3HBOH.aln	718	2.6e-226	758.2	1.9e-230	3.1e-226	757.9	20	717	15	698	6	699	0.93	1	1	0.9526462395543176	0.9985693848354793	3HBOH
sp|A3MME1|HBOH_BURM7	699	3HBOH.aln	718	2.6e-226	758.2	1.9e-230	3.1e-226	757.9	20	717	15	698	6	699	0.93	1	1	0.9526462395543176	0.9985693848354793	3HBOH
sp|Q0BHU5|HBOH_BURCM	695	3HBOH.aln	718	5.1e-226	757.2	3.8e-230	6.2e-226	757.0	20	717	10	694	2	695	0.94	1	1	0.9540389972144847	1.0043165467625899	3HBOH
sp|A1V1X3|HBOH_BURMS	699	3HBOH.aln	718	1.1e-225	756.1	8.2e-230	1.3e-225	755.8	20	717	15	698	6	699	0.93	1	1	0.9526462395543176	0.9985693848354793	3HBOH
sp|Q39J35|HBOH_BURL3	696	3HBOH.aln	718	3.7e-223	747.8	2.8e-227	4.6e-223	747.5	15	717	9	695	5	696	0.92	1	1	0.9568245125348189	1.0100574712643677	3HBOH
sp|A4JBY8|HBOH_BURVG	696	3HBOH.aln	718	4.6e-222	744.1	3.5e-226	5.7e-222	743.8	24	717	14	695	3	696	0.92	1	1	0.9498607242339833	0.9971264367816092	3HBOH
sp|A0K516|HBOH_BURCH	696	3HBOH.aln	718	6.6e-222	743.6	4.8e-226	7.9e-222	743.4	20	717	15	695	3	696	0.92	1	1	0.9484679665738162	1.0028735632183907	3HBOH
sp|Q1BYN6|HBOH_BURO1	696	3HBOH.aln	718	6.6e-222	743.6	4.8e-226	7.9e-222	743.4	20	717	15	695	3	696	0.92	1	1	0.9484679665738162	1.0028735632183907	3HBOH
sp|A1TWS1|HBOH_MARN8	700	3HBOH.aln	718	6.9e-202	677.4	4.8e-206	7.8e-202	677.3	15	718	3	700	1	700	0.94	1	1	0.9721448467966574	1.0057142857142858	3HBOH
sp|P26495|PHAZ_ECTOL	283	Abhydrolase_1.aln	275	1.7e-91	311.4	5.2e-94	1.9e-91	311.2	1	275	1	273	1	273	0.95	1	1	0.9927272727272727	0.9717314487632509	Abhydrolase_1
sp|P29715|BPOA2_KITAU	278	Abhydrolase_1.aln	275	9.7e-53	184.3	2.8e-55	1.1e-52	184.2	8	270	7	278	1	278	0.92	1	1	0.9890909090909091	0.9460431654676259	Abhydrolase_1
sp|O31168|PRXC_KITAU	278	Abhydrolase_1.aln	275	2.5e-52	183.0	7.3e-55	2.8e-52	182.8	8	270	7	278	1	278	0.92	1	1	0.9890909090909091	0.9460431654676259	Abhydrolase_1
sp|P25275|LIP_PSES5	364	Abhydrolase_1.aln	275	9.8e-50	174.4	3.5e-52	1.3e-49	174.0	20	272	47	297	7	300	0.93	1	1	0.9127272727272727	0.695054945054945	Abhydrolase_1
sp|P22088|LIP_BURCE	364	Abhydrolase_1.aln	275	1e-49	174.3	3.8e-52	1.4e-49	173.9	20	272	47	297	7	300	0.93	1	1	0.9127272727272727	0.695054945054945	Abhydrolase_1
sp|Q55921|PRXC_SYNY3	276	Abhydrolase_1.aln	275	2.1e-49	173.3	6.5e-52	2.4e-49	173.1	6	269	5	276	1	276	0.88	1	1	0.9890909090909091	0.9565217391304348	Abhydrolase_1
sp|Q02104|LIP1_PSYIM	317	Abhydrolase_1.aln	275	1.5e-44	157.5	4.8e-47	1.8e-44	157.2	9	267	49	309	16	315	0.88	1	1	0.9490909090909091	0.8170347003154574	Abhydrolase_1
sp|P0A573|Y2734_MYCBO	341	Abhydrolase_1.aln	275	1.5e-43	154.1	6.6e-33	2.5e-30	110.8	11	127	23	138	15	173	0.92	1	2	0.4218181818181818	0.34310850439882695	Abhydrolase_1
sp|P9WNH2|Y2715_MYCTO	341	Abhydrolase_1.aln	275	1.5e-43	154.1	6.6e-33	2.5e-30	110.8	11	127	23	138	15	173	0.92	1	2	0.4218181818181818	0.34310850439882695	Abhydrolase_1
sp|P9WNH3|Y2715_MYCTU	341	Abhydrolase_1.aln	275	1.5e-43	154.1	6.6e-33	2.5e-30	110.8	11	127	23	138	15	173	0.92	1	2	0.4218181818181818	0.34310850439882695	Abhydrolase_1
sp|P0DUB9|LIP_PSEPS	319	Abhydrolase_1.aln	275	4.5e-43	152.6	1.7e-45	6.2e-43	152.1	22	272	5	252	2	255	0.94	1	1	0.9018181818181819	0.786833855799373	Abhydrolase_1
