hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P12625|PHB_RALPI	488	P3HP.aln	540	5.4e-214	716.8	8.3e-218	6.5e-214	716.5	1	540	1	488	1	488	1.0	1	1	0.9037037037037037	1.1065573770491803	P3HP
sp|O05527|PHB_DELAC	494	P3HP.aln	540	4.4e-191	641.2	0.3	2400.0	1.8	6	21	3	18	1	22	0.89	1	2	0.02962962962962963	0.032388663967611336	P3HP
sp|O05527|PHB_DELAC	494	P3HP.aln	540	4.4e-191	641.2	5.7e-195	4.4e-191	641.2	130	540	23	494	19	494	0.99	2	2	0.8740740740740741	0.8319838056680162	P3HP
sp|P50899|GUXB_CELFA	1090	P3HP.aln	540	9.8e-30	108.7	5.2e-14	4.1e-10	43.9	375	476	689	791	677	797	0.89	1	3	0.19074074074074074	0.09357798165137615	P3HP
sp|P50899|GUXB_CELFA	1090	P3HP.aln	540	9.8e-30	108.7	1.6e-10	1.2e-06	32.4	376	475	784	886	783	889	0.87	2	3	0.19074074074074074	0.09174311926605505	P3HP
sp|P50899|GUXB_CELFA	1090	P3HP.aln	540	9.8e-30	108.7	2.5e-14	1.9e-10	45.0	381	491	886	999	884	1019	0.87	3	3	0.2111111111111111	0.1018348623853211	P3HP
sp|B2NHN2|PHAZ_TALFU	339	P3HP.aln	540	6.6e-29	105.9	1.1e-32	8.6e-29	105.5	132	373	19	329	6	339	0.87	1	1	0.575925925925926	0.7138643067846607	P3HP
sp|P52090|PHA1_PAULE	414	P3HP.aln	540	2.9e-28	103.8	3.6e-32	2.9e-28	103.8	22	193	24	194	9	265	0.87	1	1	0.31666666666666665	0.41545893719806765	P3HP
sp|Q9HGR3|FAEB_NEUCR	292	P3HP.aln	540	1.6e-19	74.9	2.4e-23	1.9e-19	74.7	28	184	12	168	4	285	0.72	1	1	0.29074074074074074	0.5376712328767124	P3HP
sp|Q4WBW4|AXE1_ASPFU	371	P3HP.aln	540	4.1e-18	70.3	5.2e-22	4.1e-18	70.3	32	213	30	207	4	280	0.76	1	1	0.3296296296296296	0.49056603773584906	P3HP
sp|P50401|GUXA_CELFA	872	P3HP.aln	540	3.1e-17	67.4	7.4e-12	5.8e-08	36.8	374	488	465	576	456	576	0.87	1	3	0.2074074074074074	0.13188073394495411	P3HP
sp|P50401|GUXA_CELFA	872	P3HP.aln	540	3.1e-17	67.4	1.2e-09	9.5e-06	29.5	381	475	568	666	566	669	0.88	2	3	0.18333333333333332	0.10894495412844037	P3HP
sp|P50401|GUXA_CELFA	872	P3HP.aln	540	3.1e-17	67.4	1.6e-09	1.3e-05	29.1	382	490	667	778	664	799	0.85	3	3	0.2074074074074074	0.125	P3HP
sp|Q92194|AXE1_ASPAW	304	P3HP.aln	540	2.6e-16	64.4	3.6e-20	2.8e-16	64.2	14	215	12	208	3	265	0.83	1	1	0.3648148148148148	0.6644736842105263	P3HP
sp|Q96W96|AXE1_ASPFI	303	P3HP.aln	540	1.3e-15	62.1	1.9e-19	1.5e-15	61.8	15	214	12	206	4	270	0.82	1	1	0.3611111111111111	0.6600660066006601	P3HP
sp|A2QZI3|AXE1_ASPNC	303	P3HP.aln	540	1.8e-15	61.6	2.7e-19	2.1e-15	61.3	15	214	12	206	4	270	0.81	1	1	0.3611111111111111	0.6600660066006601	P3HP
sp|A1DBP9|AXE1_NEOFI	368	P3HP.aln	540	2.3e-15	61.2	2.9e-19	2.3e-15	61.2	34	213	32	207	2	273	0.79	1	1	0.32592592592592595	0.4891304347826087	P3HP
sp|Q5B037|AXE1_EMENI	304	P3HP.aln	540	2.8e-15	61.0	3.5e-19	2.8e-15	61.0	45	183	43	182	8	224	0.8	1	1	0.25925925925925924	0.45723684210526316	P3HP
sp|Q9HE18|FAEB_TALFU	353	P3HP.aln	540	3.1e-15	60.8	3.9e-19	3.1e-15	60.8	44	181	32	165	2	280	0.82	1	1	0.24814814814814815	0.3909348441926346	P3HP
sp|B8NBI2|AXE1_ASPFN	307	P3HP.aln	540	6.9e-15	59.6	1e-18	8e-15	59.4	44	214	46	209	15	266	0.82	1	1	0.3037037037037037	0.5570032573289903	P3HP
sp|B8M9H9|FAEB_TALSN	358	P3HP.aln	540	1e-14	59.1	1.3e-18	1e-14	59.1	35	184	20	169	2	261	0.73	1	1	0.2777777777777778	0.41899441340782123	P3HP
sp|A1CSZ8|AXE1_ASPCL	308	P3HP.aln	540	1.2e-14	58.8	1.8e-18	1.4e-14	58.7	38	214	38	210	4	275	0.79	1	1	0.32037037037037036	0.5746753246753247	P3HP
sp|A9JPE6|AXE1_ASPFL	307	P3HP.aln	540	1.5e-14	58.6	2.2e-18	1.7e-14	58.3	44	214	46	209	15	266	0.83	1	1	0.3037037037037037	0.5570032573289903	P3HP
sp|Q75P26|AXE1_ASPOR	307	P3HP.aln	540	1.5e-14	58.6	2.2e-18	1.7e-14	58.3	44	214	46	209	15	266	0.83	1	1	0.3037037037037037	0.5570032573289903	P3HP
sp|G2QND5|FAEB_THET4	291	P3HP.aln	540	5.4e-14	56.7	8.4e-18	6.6e-14	56.4	47	185	34	170	3	203	0.77	1	1	0.2537037037037037	0.47766323024054985	P3HP
sp|A8PB24|AXE1_COPC7	374	P3HP.aln	540	7.5e-14	56.2	1.6e-17	1.2e-13	55.5	46	179	114	246	98	288	0.84	1	1	0.2462962962962963	0.3582887700534759	P3HP
sp|Q8NJP6|AXE1_TALPU	382	P3HP.aln	540	1.5e-13	55.2	2e-17	1.5e-13	55.2	47	208	50	205	28	217	0.75	1	1	0.28888888888888886	0.42408376963350786	P3HP
sp|A0A8G1A3Q5|CHI52_PAEXY	523	P3HP.aln	540	4.2e-11	47.2	5.4e-15	4.2e-11	47.2	375	486	77	191	19	245	0.83	1	2	0.21296296296296297	0.21414913957934992	P3HP
sp|A0A8G1A3Q5|CHI52_PAEXY	523	P3HP.aln	540	4.2e-11	47.2	6.4	50000.0	-2.6	473	508	436	474	393	493	0.56	2	2	0.07222222222222222	0.06883365200764818	P3HP
sp|Q05638|CHIX_STROI	597	P3HP.aln	540	3.9e-10	44.0	4.9e-14	3.9e-10	44.0	373	480	156	257	148	282	0.84	1	1	0.18888888888888888	0.18090452261306533	P3HP
sp|P20533|CHIA1_NIACI	699	P3HP.aln	540	9.6e-10	42.7	1.1e-09	8.3e-06	29.7	370	480	447	556	434	562	0.84	1	2	0.2037037037037037	0.15879828326180256	P3HP
sp|P20533|CHIA1_NIACI	699	P3HP.aln	540	9.6e-10	42.7	3.1e-06	0.025	18.2	386	479	556	650	551	677	0.78	2	2	0.17592592592592593	0.13447782546494993	P3HP
sp|P27050|CHID_NIACI	524	P3HP.aln	540	3.6e-09	40.8	4.5e-13	3.6e-09	40.8	375	477	77	181	64	259	0.84	1	2	0.19444444444444445	0.1965648854961832	P3HP
sp|P27050|CHID_NIACI	524	P3HP.aln	540	3.6e-09	40.8	1.8	14000.0	-0.8	468	520	399	488	382	502	0.67	2	2	0.16666666666666666	0.10114503816793893	P3HP
sp|B8YG19|XS20E_NEOPA	671	P3HP.aln	540	1.6e-08	38.6	7.1e-12	5.6e-08	36.8	46	179	57	179	39	188	0.86	1	1	0.22777777777777777	0.19970193740685543	P3HP
sp|O48449|TUBE_BPSPP	264	P3HP.aln	540	2.1e-08	38.2	3.5e-12	2.7e-08	37.9	377	467	161	252	147	264	0.79	1	1	0.17037037037037037	0.3446969696969697	P3HP
sp|Q5J1R3|NOCK_NOCUT	344	P3HP.aln	540	1.1e-07	35.9	5.4e-11	4.3e-07	33.9	34	178	58	201	38	219	0.74	1	1	0.26666666666666666	0.42151162790697677	P3HP
sp|P36909|CHIT_STRLI	619	P3HP.aln	540	4.5e-07	33.9	5.7e-11	4.5e-07	33.9	377	481	130	236	114	298	0.77	1	1	0.19814814814814816	0.16962843295638125	P3HP
