hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q5U780|LIP_BACSP	416	Lip_C.aln	429	1.4e-137	464.0	1.1e-141	1.6e-137	463.8	42	426	29	414	20	416	0.92	1	1	0.8997668997668997	0.9254807692307693	Lip_C
sp|Q2FUU5|LIP1_STAA8	680	Lip_C.aln	429	1.5e-100	342.0	1e-104	1.5e-100	342.0	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|Q5HCM7|LIP1_STAAC	680	Lip_C.aln	429	1.5e-100	342.0	1e-104	1.5e-100	342.0	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|Q6G604|LIP1_STAAS	680	Lip_C.aln	429	1.5e-100	342.0	1e-104	1.5e-100	342.0	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|Q8NUI5|LIP1_STAAW	680	Lip_C.aln	429	1.5e-100	342.0	1e-104	1.5e-100	342.0	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|P65288|LIP1_STAAM	680	Lip_C.aln	429	1.7e-100	341.8	1.2e-104	1.7e-100	341.8	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|P65289|LIP1_STAAN	680	Lip_C.aln	429	1.7e-100	341.8	1.2e-104	1.7e-100	341.8	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|Q6GDD3|LIP1_STAAR	680	Lip_C.aln	429	1.9e-100	341.6	1.3e-104	1.9e-100	341.6	40	428	292	666	261	669	0.9	2	2	0.8741258741258742	0.5720588235294117	Lip_C
sp|Q5HKP6|LIP_STAEQ	688	Lip_C.aln	429	1.2e-99	339.0	1.9e-103	2.9e-99	337.8	23	427	281	674	272	678	0.89	1	1	0.9184149184149184	0.5886627906976745	Lip_C
sp|P0C0R3|LIP_STAEP	688	Lip_C.aln	429	4.9e-99	337.0	8.5e-103	1.3e-98	335.7	23	427	281	674	272	679	0.89	1	1	0.9184149184149184	0.5886627906976745	Lip_C
sp|P0C0R4|LIP_STAES	688	Lip_C.aln	429	4.9e-99	337.0	8.5e-103	1.3e-98	335.7	23	427	281	674	272	679	0.89	1	1	0.9184149184149184	0.5886627906976745	Lip_C
sp|P10335|LIP2_STAAU	690	Lip_C.aln	429	1.9e-93	318.6	1.3e-97	1.9e-93	318.6	39	422	295	666	268	676	0.9	2	2	0.8671328671328671	0.5565217391304348	Lip_C
sp|Q2G155|LIP2_STAA8	690	Lip_C.aln	429	1.9e-93	318.6	1.3e-97	1.9e-93	318.6	39	422	295	666	268	676	0.9	2	2	0.8671328671328671	0.5565217391304348	Lip_C
sp|Q5HJ48|LIP2_STAAC	690	Lip_C.aln	429	1.9e-93	318.6	1.3e-97	1.9e-93	318.6	39	422	295	666	268	676	0.9	2	2	0.8671328671328671	0.5565217391304348	Lip_C
sp|Q6GCF1|LIP2_STAAS	690	Lip_C.aln	429	3e-93	317.9	2e-97	3e-93	317.9	39	422	295	666	268	676	0.9	1	1	0.8671328671328671	0.5565217391304348	Lip_C
sp|Q8NYC2|LIP2_STAAW	690	Lip_C.aln	429	3e-93	317.9	2e-97	3e-93	317.9	39	422	295	666	268	676	0.9	1	1	0.8671328671328671	0.5565217391304348	Lip_C
sp|Q7A7P2|LIP2_STAAN	691	Lip_C.aln	429	3.9e-93	317.5	2.7e-97	3.9e-93	317.5	39	422	296	667	269	677	0.9	2	2	0.8671328671328671	0.5557163531114327	Lip_C
sp|Q99WQ6|LIP2_STAAM	691	Lip_C.aln	429	3.9e-93	317.5	2.7e-97	3.9e-93	317.5	39	422	296	667	269	677	0.9	2	2	0.8671328671328671	0.5557163531114327	Lip_C
sp|Q6GJZ6|LIP2_STAAR	691	Lip_C.aln	429	4.8e-93	317.3	3.2e-97	4.8e-93	317.3	39	422	296	667	269	677	0.9	2	2	0.8671328671328671	0.5557163531114327	Lip_C
sp|P04635|LIP_STAHY	641	Lip_C.aln	429	1.4e-92	315.8	1.5e-96	2.1e-92	315.1	23	427	239	626	227	634	0.88	1	1	0.9044289044289044	0.6318252730109204	Lip_C
