hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q3C1D4|TPDB2_COMSP	154	NTF2.aln	154	9.6e-109	365.0	3.2e-113	1.1e-108	364.8	1	154	1	154	1	154	1.0	1	1	1.0	1.0	NTF2
sp|Q3C1E2|TPDB1_COMSP	154	NTF2.aln	154	3.6e-108	363.1	1.2e-112	4e-108	362.9	1	154	1	154	1	154	1.0	1	1	1.0	1.0	NTF2
sp|Q84BZ2|ANDAD_BURCE	161	NTF2.aln	154	2.6e-26	97.3	8.5e-31	2.9e-26	97.1	7	154	14	161	8	161	0.91	1	1	0.961038961038961	0.9192546583850931	NTF2
sp|O52380|NAGH_RALSP	161	NTF2.aln	154	2.9e-16	64.6	9.8e-21	3.3e-16	64.5	11	146	14	153	7	161	0.91	1	1	0.9090909090909091	0.84472049689441	NTF2
sp|Q51975|CMTAC_PSEPU	180	NTF2.aln	154	9e-06	30.6	3.6e-10	1.2e-05	30.2	15	139	36	163	28	169	0.8	1	1	0.8311688311688312	0.6944444444444444	NTF2
sp|Q9RBG4|ABSAB_ALCSP	150	NTF2.aln	154	9e-05	27.3	3.2e-09	0.00011	27.1	4	143	3	139	1	143	0.89	1	1	0.8896103896103896	0.9333333333333333	NTF2
sp|Q53216|Y4VH_SINFN	218	NTF2.aln	154	0.19	16.5	7.7e-06	0.26	16.1	32	142	42	162	18	167	0.76	1	1	0.7857142857142857	0.5091743119266054	NTF2
sp|Q2KJ16|PHKG2_BOVIN	406	NTF2.aln	154	0.23	16.2	0.00026	8.8	11.1	52	113	54	115	34	128	0.85	1	2	0.4025974025974026	0.15270935960591134	NTF2
sp|Q2KJ16|PHKG2_BOVIN	406	NTF2.aln	154	0.23	16.2	0.099	3300.0	2.8	54	107	257	310	251	322	0.9	2	2	0.35064935064935066	0.1330049261083744	NTF2
sp|A7N6L2|GCH1_VIBC1	217	NTF2.aln	154	0.76	14.6	4.8e-05	1.6	13.5	76	148	39	108	24	114	0.78	1	1	0.45454545454545453	0.33640552995391704	NTF2
sp|A1S2C7|GCH1_SHEAM	216	NTF2.aln	154	1.1	14.0	6.4e-05	2.2	13.1	76	148	39	107	26	112	0.76	1	1	0.44805194805194803	0.33796296296296297	NTF2
sp|B8JMH0|CAF17_DANRE	354	NTF2.aln	154	1.3	13.8	2.9	97000.0	-2.0	104	115	51	62	24	107	0.55	1	3	0.07792207792207792	0.03389830508474576	NTF2
sp|B8JMH0|CAF17_DANRE	354	NTF2.aln	154	1.3	13.8	0.29	9900.0	1.2	140	152	123	135	114	137	0.85	2	3	0.08441558441558442	0.03672316384180791	NTF2
sp|B8JMH0|CAF17_DANRE	354	NTF2.aln	154	1.3	13.8	0.00094	32.0	9.3	55	87	196	228	170	248	0.87	3	3	0.21428571428571427	0.09322033898305085	NTF2
sp|Q2NUE3|GCH1_SODGM	221	NTF2.aln	154	1.3	13.8	6.9e-05	2.3	13.0	82	148	42	108	25	114	0.75	1	1	0.43506493506493504	0.3031674208144796	NTF2
sp|G8H5M7|TPS9_SOLHA	544	NTF2.aln	154	2.0	13.2	2.6	89000.0	-1.9	114	133	111	130	82	138	0.73	1	2	0.12987012987012986	0.03676470588235294	NTF2
sp|G8H5M7|TPS9_SOLHA	544	NTF2.aln	154	2.0	13.2	0.00019	6.3	11.6	7	79	141	215	133	225	0.85	2	2	0.487012987012987	0.13419117647058823	NTF2
sp|Q12SG0|GCH1_SHEDO	217	NTF2.aln	154	2.1	13.1	0.00011	3.8	12.3	66	148	28	107	20	112	0.79	1	1	0.5194805194805194	0.3824884792626728	NTF2
sp|Q6D3N3|GCH1_PECAS	220	NTF2.aln	154	2.4	13.0	0.00013	4.3	12.1	80	148	43	108	24	114	0.78	1	1	0.42857142857142855	0.31363636363636366	NTF2
sp|P15735|PHKG2_HUMAN	406	NTF2.aln	154	3.9	12.3	0.00024	8.0	11.3	50	113	52	115	33	128	0.84	1	1	0.4155844155844156	0.15763546798029557	NTF2
sp|O26223|Y120_METTH	191	NTF2.aln	154	4.2	12.2	0.00018	6.2	11.6	21	70	104	152	89	171	0.82	1	1	0.3181818181818182	0.2617801047120419	NTF2
