hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q3L8N0|LCP_STRK3	407	MPAB_Lcp_cat.aln	404	8e-220	734.5	1.7e-224	9e-220	734.3	1	403	1	406	1	407	1.0	1	1	1.004950495049505	0.9901719901719902	MPAB_Lcp_cat
sp|W8GNV3|B11A_TETBN	79	MPAB_Lcp_cat.aln	404	0.74	13.4	1.6e-05	0.85	13.2	10	70	6	66	2	70	0.88	1	1	0.15099009900990099	0.7721518987341772	MPAB_Lcp_cat
sp|A8GDC2|PEPT_SERP5	409	MPAB_Lcp_cat.aln	404	1.2	12.7	3.6e-05	1.9	12.1	208	271	215	278	208	295	0.85	1	1	0.15841584158415842	0.15647921760391198	MPAB_Lcp_cat
sp|Q6HE28|ARGC_BACHK	345	MPAB_Lcp_cat.aln	404	3.4	11.2	0.0001	5.3	10.6	39	87	180	229	150	243	0.82	1	1	0.12376237623762376	0.14202898550724638	MPAB_Lcp_cat
sp|B7HB04|ARGC_BACC4	345	MPAB_Lcp_cat.aln	404	3.5	11.2	9.5e-05	5.0	10.7	39	87	180	229	143	238	0.8	1	1	0.12376237623762376	0.14202898550724638	MPAB_Lcp_cat
sp|Q731G3|ARGC_BACC1	345	MPAB_Lcp_cat.aln	404	4.3	10.9	0.00012	6.2	10.4	39	87	180	229	151	244	0.82	1	1	0.12376237623762376	0.14202898550724638	MPAB_Lcp_cat
sp|B7HNP9|ARGC_BACC7	345	MPAB_Lcp_cat.aln	404	4.4	10.8	0.00012	6.5	10.3	39	87	180	229	151	238	0.81	1	1	0.12376237623762376	0.14202898550724638	MPAB_Lcp_cat
sp|B9IXC9|ARGC_BACCQ	345	MPAB_Lcp_cat.aln	404	4.4	10.8	0.00012	6.5	10.3	39	87	180	229	151	238	0.81	1	1	0.12376237623762376	0.14202898550724638	MPAB_Lcp_cat
sp|P57323|DAPD_BUCAI	274	MPAB_Lcp_cat.aln	404	4.7	10.7	0.00017	8.6	9.9	340	387	21	68	6	77	0.85	1	1	0.1188118811881188	0.17518248175182483	MPAB_Lcp_cat
sp|A9VG72|ARGC_BACMK	345	MPAB_Lcp_cat.aln	404	5.1	10.6	0.00015	7.6	10.1	38	86	179	228	144	236	0.75	1	1	0.12376237623762376	0.14202898550724638	MPAB_Lcp_cat
sp|Q9JHS2|HIF3A_RAT	662	MPAB_Lcp_cat.aln	404	6.3	10.3	0.0002	11.0	9.6	43	123	397	477	366	486	0.89	1	1	0.2004950495049505	0.12235649546827794	MPAB_Lcp_cat
