hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q47452|PCOA_ECOLX	605	Cu-oxidase_3.aln	501	2.4e-148	499.6	1.5e-151	3.8e-148	499.0	55	499	42	603	17	605	0.94	1	1	1.1217564870259482	0.7355371900826446	Cu-oxidase_3
sp|P12374|COPA_PSEUB	609	Cu-oxidase_3.aln	501	9.3e-144	484.5	5.9e-147	1.6e-143	483.8	54	499	41	607	32	609	0.95	1	1	1.1317365269461077	0.7323481116584565	Cu-oxidase_3
sp|P59571|COPA_PSESM	589	Cu-oxidase_3.aln	501	2.9e-143	482.9	1.5e-146	3.9e-143	482.4	57	499	44	587	40	589	0.94	1	1	1.0858283433133733	0.7521222410865874	Cu-oxidase_3
sp|I6WZK7|MMCO_MYCTU	504	Cu-oxidase_3.aln	501	5.3e-129	435.8	2.4e-132	6.4e-129	435.6	5	500	18	503	9	504	0.91	1	1	0.9700598802395209	0.9841269841269841	Cu-oxidase_3
sp|Q96WM9|LAC2_BOTFU	581	Cu-oxidase_3.aln	501	4.1e-52	182.2	2.7e-49	7.1e-46	161.6	55	324	64	320	7	365	0.84	1	2	0.5129740518962076	0.46471600688468157	Cu-oxidase_3
sp|Q96WM9|LAC2_BOTFU	581	Cu-oxidase_3.aln	501	4.1e-52	182.2	6.8e-06	0.018	18.4	432	496	462	541	443	545	0.69	2	2	0.1596806387225549	0.11187607573149742	Cu-oxidase_3
sp|J5JH35|OPS5_BEAB2	590	Cu-oxidase_3.aln	501	3.4e-51	179.2	8.8e-47	2.3e-43	153.3	56	322	70	324	8	440	0.82	1	2	0.5089820359281437	0.45254237288135596	Cu-oxidase_3
sp|J5JH35|OPS5_BEAB2	590	Cu-oxidase_3.aln	501	3.4e-51	179.2	1.4e-07	0.00036	24.1	429	493	470	545	452	552	0.7	2	2	0.15169660678642716	0.11016949152542373	Cu-oxidase_3
sp|J9VQZ4|LAC2_CRYNH	594	Cu-oxidase_3.aln	501	2.3e-48	169.8	5.2e-44	1.4e-40	144.2	76	413	76	433	31	440	0.76	1	2	0.7145708582834331	0.569023569023569	Cu-oxidase_3
sp|J9VQZ4|LAC2_CRYNH	594	Cu-oxidase_3.aln	501	2.3e-48	169.8	4.1e-07	0.0011	22.5	429	499	475	560	452	562	0.71	2	2	0.17165668662674652	0.11952861952861953	Cu-oxidase_3
sp|Q02075|LAC2_THACU	599	Cu-oxidase_3.aln	501	9.8e-48	167.7	8e-40	2.1e-36	130.4	76	325	36	282	26	314	0.81	1	3	0.4930139720558882	0.41736227045075125	Cu-oxidase_3
sp|Q02075|LAC2_THACU	599	Cu-oxidase_3.aln	501	9.8e-48	167.7	7.1	19000.0	-1.4	380	409	418	447	361	458	0.86	2	3	0.059880239520958084	0.05008347245409015	Cu-oxidase_3
sp|Q02075|LAC2_THACU	599	Cu-oxidase_3.aln	501	9.8e-48	167.7	2.3e-10	6e-07	33.2	409	497	472	564	459	567	0.75	3	3	0.18562874251497005	0.14858096828046743	Cu-oxidase_3
sp|J9VY90|LAC1_CRYNH	624	Cu-oxidase_3.aln	501	1.6e-47	167.0	1.8e-42	4.8e-39	139.1	53	325	57	324	22	330	0.81	1	2	0.5349301397205589	0.4375	Cu-oxidase_3
sp|J9VY90|LAC1_CRYNH	624	Cu-oxidase_3.aln	501	1.6e-47	167.0	1.8e-07	0.00046	23.7	429	497	475	558	468	561	0.74	2	2	0.16766467065868262	0.11057692307692307	Cu-oxidase_3
sp|Q55P57|LAC1_CRYNB	624	Cu-oxidase_3.aln	501	1.7e-47	167.0	7.3e-34	1.9e-30	110.7	54	205	58	212	28	248	0.84	1	3	0.3093812375249501	0.24358974358974358	Cu-oxidase_3
sp|Q55P57|LAC1_CRYNB	624	Cu-oxidase_3.aln	501	1.7e-47	167.0	1.4e-08	3.7e-05	27.3	266	324	265	323	256	334	0.92	2	3	0.11776447105788423	0.09455128205128205	Cu-oxidase_3
sp|Q55P57|LAC1_CRYNB	624	Cu-oxidase_3.aln	501	1.7e-47	167.0	4.7e-08	0.00012	25.6	429	497	475	558	467	562	0.75	3	3	0.16766467065868262	0.11057692307692307	Cu-oxidase_3
sp|Q02079|LAC3_THACU	572	Cu-oxidase_3.aln	501	1.7e-47	167.0	1.7e-40	4.6e-37	132.6	75	332	35	288	11	424	0.75	1	2	0.5069860279441117	0.45104895104895104	Cu-oxidase_3
sp|Q02079|LAC3_THACU	572	Cu-oxidase_3.aln	501	1.7e-47	167.0	5.6e-10	1.5e-06	31.9	432	497	468	537	434	540	0.83	2	2	0.13972055888223553	0.11538461538461539	Cu-oxidase_3
sp|P14133|ASO_CUCSA	587	Cu-oxidase_3.aln	501	3.8e-47	165.8	4.6e-44	1.2e-40	144.4	83	324	60	305	53	313	0.87	1	2	0.49101796407185627	0.4122657580919932	Cu-oxidase_3
sp|P14133|ASO_CUCSA	587	Cu-oxidase_3.aln	501	3.8e-47	165.8	4.3e-06	0.011	19.1	424	494	464	554	451	559	0.69	2	2	0.18163672654690619	0.12095400340715502	Cu-oxidase_3
sp|A0A067XMP2|PTAK_PESFW	585	Cu-oxidase_3.aln	501	1.1e-46	164.3	2.7e-38	7.1e-35	125.3	76	322	79	320	57	334	0.85	1	2	0.48303393213572854	0.4222222222222222	Cu-oxidase_3
sp|A0A067XMP2|PTAK_PESFW	585	Cu-oxidase_3.aln	501	1.1e-46	164.3	1.8e-11	4.8e-08	36.8	416	496	455	545	448	548	0.78	2	2	0.18163672654690619	0.13846153846153847	Cu-oxidase_3
sp|Q12570|LAC1_BOTFU	561	Cu-oxidase_3.aln	501	3.5e-46	162.6	1.4e-40	3.6e-37	132.9	63	326	66	306	39	360	0.8	1	2	0.4810379241516966	0.47058823529411764	Cu-oxidase_3
