hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
afb51f2a48	545	PBAT.aln	294	1.1e-12	42.9	3.8e-14	1.5e-12	42.5	19	120	110	219	77	296	0.85	1	1	0.3741496598639456	0.1871559633027523	PBAT.hmm
03f3222488	548	PBAT.aln	294	1.4e-12	42.6	4.9e-14	1.9e-12	42.1	20	124	114	230	75	280	0.84	1	1	0.3979591836734694	0.19160583941605838	PBAT.hmm
f41c6d89a0	555	PBAT.aln	294	2e-12	42.1	6.8e-14	2.7e-12	41.6	20	120	114	222	77	289	0.84	1	1	0.3707482993197279	0.18198198198198198	PBAT.hmm
54b0f51654	548	PBAT.aln	294	2.1e-12	42.0	7.6e-14	3e-12	41.5	20	120	114	222	77	266	0.84	1	1	0.3707482993197279	0.1843065693430657	PBAT.hmm
114e6d2abe	545	PBAT.aln	294	2.6e-12	41.7	9.4e-14	3.7e-12	41.2	20	124	111	227	81	272	0.81	1	1	0.3979591836734694	0.1926605504587156	PBAT.hmm
4fd7439f5f	545	PBAT.aln	294	4e-12	41.1	1.4e-13	5.6e-12	40.6	19	120	110	219	78	296	0.85	1	1	0.3741496598639456	0.1871559633027523	PBAT.hmm
59bb4d8994	545	PBAT.aln	294	4.1e-12	41.1	1.5e-13	5.8e-12	40.6	19	120	110	219	78	295	0.86	1	1	0.3741496598639456	0.1871559633027523	PBAT.hmm
e542ce1613	545	PBAT.aln	294	4.2e-12	41.0	1.6e-13	6.2e-12	40.5	20	120	111	219	78	267	0.82	1	1	0.3707482993197279	0.1853211009174312	PBAT.hmm
9c28e36175	545	PBAT.aln	294	7.3e-12	40.2	2.7e-13	1.1e-11	39.7	23	120	114	219	81	267	0.82	1	1	0.36054421768707484	0.1798165137614679	PBAT.hmm
f41c6d89a0	555	PET.aln	309	9.2e-08	26.5	3.4e-09	1.2e-07	26.1	69	186	107	237	45	308	0.79	1	1	0.42394822006472493	0.2126126126126126	PET.hmm
54b0f51654	548	PET.aln	309	9.6e-08	26.5	3.4e-09	1.2e-07	26.1	69	186	107	237	45	316	0.8	1	1	0.42394822006472493	0.21532846715328466	PET.hmm
03f3222488	548	PET.aln	309	1.2e-07	26.2	4.5e-09	1.6e-07	25.7	68	170	106	218	38	287	0.8	1	1	0.3656957928802589	0.18795620437956204	PET.hmm
e542ce1613	545	PET.aln	309	1.5e-07	25.8	5.8e-09	2.1e-07	25.4	39	185	62	233	12	286	0.73	1	1	0.5566343042071198	0.26972477064220185	PET.hmm
54b0f51654	548	PLA.aln	246	1.9e-07	25.7	6.3e-09	2.5e-07	25.4	24	140	102	236	18	286	0.78	1	1	0.5487804878048781	0.21350364963503649	PLA.hmm
f41c6d89a0	555	PLA.aln	246	2e-07	25.7	6.5e-09	2.6e-07	25.3	24	140	102	236	18	287	0.77	1	1	0.5487804878048781	0.21081081081081082	PLA.hmm
