hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P19136|PEM4_PHACH	382	Peroxidase.aln	387	1.5e-215	720.3	1.8e-219	1.6e-215	720.2	3	383	1	382	1	382	0.99	1	1	0.9870801033591732	0.9973821989528796	Peroxidase
sp|Q02567|PEM1_PHACH	378	Peroxidase.aln	387	7.8e-211	704.8	9.5e-215	8.7e-211	704.6	3	383	1	378	1	378	0.98	1	1	0.9767441860465116	1.007936507936508	Peroxidase
sp|P78733|PEM3_PHACH	380	Peroxidase.aln	387	3.9e-200	669.5	4.8e-204	4.4e-200	669.4	6	383	5	380	1	380	0.98	1	1	0.9715762273901809	0.9947368421052631	Peroxidase
sp|Q70LM3|PEM2_PHLRA	390	Peroxidase.aln	387	1.8e-182	611.4	2.4e-186	2.2e-182	611.1	1	383	1	381	1	384	0.99	1	1	0.9844961240310077	0.982051282051282	Peroxidase
sp|Q9UVP6|VPS1_PLEER	370	Peroxidase.aln	387	1.5e-108	368.0	2e-112	1.8e-108	367.7	25	361	30	362	5	368	0.93	1	1	0.8604651162790697	0.9108108108108108	Peroxidase
sp|P11542|LIG4_PHACH	372	Peroxidase.aln	387	1.5e-99	338.4	2e-103	1.8e-99	338.1	6	362	7	361	1	367	0.94	1	1	0.917312661498708	0.9596774193548387	Peroxidase
sp|Q96TS6|PEM3_PHLRA	362	Peroxidase.aln	387	2e-99	338.0	2.6e-103	2.4e-99	337.7	3	365	1	358	1	361	0.95	1	1	0.9250645994832042	1.0027624309392265	Peroxidase
sp|Q9UR19|VPL1_PLEER	361	Peroxidase.aln	387	1.5e-98	335.1	1.9e-102	1.7e-98	334.9	9	364	11	356	1	360	0.93	1	1	0.8940568475452196	0.9861495844875346	Peroxidase
sp|O94753|VPL2_PLEER	361	Peroxidase.aln	387	2.6e-98	334.3	3.4e-102	3.1e-98	334.1	9	364	11	356	1	360	0.93	1	1	0.8940568475452196	0.9861495844875346	Peroxidase
sp|P50622|LIG6_PHACH	372	Peroxidase.aln	387	2.7e-96	327.7	3.6e-100	3.2e-96	327.4	7	358	5	358	1	367	0.92	1	1	0.9147286821705426	0.946236559139785	Peroxidase
sp|P11543|LIG5_PHACH	371	Peroxidase.aln	387	1.6e-94	321.8	2.1e-98	2e-94	321.5	3	361	1	360	1	366	0.93	1	1	0.9302325581395349	0.967654986522911	Peroxidase
sp|P06181|LIG8_PHACH	372	Peroxidase.aln	387	3.9e-94	320.5	5.2e-98	4.7e-94	320.3	5	359	3	359	1	367	0.92	1	1	0.9224806201550387	0.9543010752688172	Peroxidase
sp|P31838|LIGB_PHACH	372	Peroxidase.aln	387	1.4e-93	318.8	1.8e-97	1.6e-93	318.5	10	359	11	359	1	367	0.92	1	1	0.9018087855297158	0.9408602150537635	Peroxidase
sp|P31837|LIGA_PHACH	372	Peroxidase.aln	387	3.9e-92	314.0	5.2e-96	4.7e-92	313.7	7	360	8	360	1	367	0.92	1	1	0.9121447028423773	0.9516129032258065	Peroxidase
sp|P21764|LIG3_PHACH	372	Peroxidase.aln	387	1.8e-91	311.8	2.4e-95	2.2e-91	311.5	10	359	11	359	1	367	0.92	1	1	0.9018087855297158	0.9408602150537635	Peroxidase
sp|P49012|LIG2_PHACH	371	Peroxidase.aln	387	4.2e-91	310.6	5.6e-95	5.1e-91	310.3	9	361	14	361	1	369	0.91	1	1	0.8992248062015504	0.9514824797843666	Peroxidase
sp|P20010|LIG_PHLRA	361	Peroxidase.aln	387	1.6e-89	305.3	2.2e-93	2e-89	305.1	3	361	1	353	1	359	0.96	1	1	0.9121447028423773	0.9944598337950139	Peroxidase
sp|P20013|LIGC_TRAVE	372	Peroxidase.aln	387	6.1e-88	300.2	8e-92	7.3e-88	299.9	3	365	1	363	1	367	0.93	1	1	0.937984496124031	0.9758064516129032	Peroxidase
sp|P28314|PER_COPCI	363	Peroxidase.aln	387	1.2e-80	276.1	1.5e-84	1.3e-80	276.0	23	365	25	361	1	363	0.91	1	1	0.8708010335917312	0.9449035812672176	Peroxidase
sp|P28313|PER_ARTRA	364	Peroxidase.aln	387	5.2e-80	274.1	6.1e-84	5.6e-80	274.0	26	365	29	362	1	364	0.93	1	1	0.8630490956072352	0.9340659340659341	Peroxidase
sp|A8NK72|PER_COPC7	363	Peroxidase.aln	387	5.5e-80	274.0	6.5e-84	5.9e-80	273.9	23	365	25	361	1	363	0.91	1	1	0.8708010335917312	0.9449035812672176	Peroxidase
sp|C0IW58|LNP_TAICA	330	Peroxidase.aln	387	1.6e-67	232.9	2.3e-71	2.1e-67	232.6	42	356	17	325	7	329	0.9	1	1	0.7984496124031008	0.9545454545454546	Peroxidase
sp|Q7XZP5|APX5_ARATH	279	Peroxidase.aln	387	1.2e-10	45.8	2.2e-14	2e-10	45.0	50	241	20	197	14	211	0.8	1	1	0.4599483204134367	0.6881720430107527	Peroxidase
sp|P48534|APX1_PEA	250	Peroxidase.aln	387	2.7e-09	41.2	1.4e-12	1.3e-08	39.0	98	232	63	195	30	202	0.84	1	2	0.34366925064599485	0.54	Peroxidase
sp|Q0JEQ2|APX3_ORYSJ	291	Peroxidase.aln	387	6.4e-09	40.0	9.2e-13	8.3e-09	39.6	49	234	21	195	8	214	0.83	1	1	0.45219638242894056	0.6391752577319587	Peroxidase
sp|Q01MI9|APX3_ORYSI	291	Peroxidase.aln	387	2.1e-08	38.3	3e-12	2.8e-08	37.9	49	234	21	195	8	214	0.83	1	1	0.45219638242894056	0.6391752577319587	Peroxidase
sp|Q6ZJJ1|APX4_ORYSJ	291	Peroxidase.aln	387	2.5e-08	38.1	3.6e-12	3.3e-08	37.7	66	235	34	194	20	207	0.84	1	1	0.4160206718346253	0.584192439862543	Peroxidase
sp|Q59X94|CCPR2_CANAL	291	Peroxidase.aln	387	3.1e-08	37.8	4.1e-12	3.7e-08	37.5	63	311	52	290	32	291	0.78	1	1	0.6175710594315246	0.8556701030927835	Peroxidase
sp|A2XFC7|APX1_ORYSI	250	Peroxidase.aln	387	1.4e-07	35.6	2.9e-11	2.6e-07	34.7	66	232	36	195	15	215	0.84	1	2	0.4134366925064599	0.668	Peroxidase
sp|Q10N21|APX1_ORYSJ	250	Peroxidase.aln	387	1.7e-07	35.4	2.8e-11	2.6e-07	34.7	66	232	36	195	15	216	0.84	1	1	0.4134366925064599	0.668	Peroxidase
sp|Q9FE01|APX2_ORYSJ	251	Peroxidase.aln	387	2.9e-07	34.6	6.8e-11	6.2e-07	33.5	83	232	51	196	29	217	0.83	1	2	0.3772609819121447	0.5976095617529881	Peroxidase
sp|Q42564|APX3_ARATH	287	Peroxidase.aln	387	5.2e-07	33.7	7.7e-11	7e-07	33.3	65	235	33	194	18	206	0.85	1	1	0.4186046511627907	0.5958188153310104	Peroxidase
sp|Q4WLG9|CCPR2_ASPFU	322	Peroxidase.aln	387	5.7e-07	33.6	7.9e-11	7.2e-07	33.3	86	311	49	273	22	304	0.8	1	1	0.5813953488372093	0.7018633540372671	Peroxidase
sp|Q5B1Z0|CCPR2_EMENI	312	Peroxidase.aln	387	1.2e-06	32.5	1.7e-10	1.6e-06	32.1	74	311	36	273	18	293	0.81	1	1	0.6149870801033591	0.7628205128205128	Peroxidase
sp|Q05431|APX1_ARATH	250	Peroxidase.aln	387	1.7e-06	32.1	3e-10	2.7e-06	31.4	68	232	38	195	27	218	0.85	1	1	0.4082687338501292	0.66	Peroxidase
sp|A4R606|CCPR2_PYRO7	300	Peroxidase.aln	387	2e-06	31.8	3.2e-10	2.9e-06	31.3	65	311	32	272	11	293	0.79	1	1	0.6227390180878553	0.8233333333333334	Peroxidase
sp|Q4PD66|CCPR2_MYCMD	330	Peroxidase.aln	387	2.8e-06	31.3	3.9e-10	3.5e-06	31.0	74	311	36	272	7	296	0.81	1	1	0.6124031007751938	0.7212121212121212	Peroxidase
sp|Q4HWQ2|CCPR2_GIBZE	331	Peroxidase.aln	387	3.8e-06	30.9	5.9e-10	5.4e-06	30.4	84	336	59	311	28	316	0.76	1	1	0.6537467700258398	0.7643504531722054	Peroxidase
sp|Q4WPF8|CCPR_ASPFU	366	Peroxidase.aln	387	4.3e-06	30.7	6.1e-10	5.6e-06	30.3	69	228	124	278	98	350	0.8	1	1	0.4005167958656331	0.4371584699453552	Peroxidase
sp|Q6C7U1|CCPR3_YARLI	297	Peroxidase.aln	387	5.5e-06	30.3	8.1e-10	7.4e-06	29.9	54	306	58	296	41	297	0.78	1	1	0.6175710594315246	0.8518518518518519	Peroxidase
