hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P07062|NYLB2_PAEUR	392	Beta-lactamase.aln	429	2.4e-150	506.5	1.2e-153	5e-150	505.5	1	421	1	391	1	392	0.96	1	1	0.9114219114219114	1.0739795918367347	Beta-lactamase
sp|P07061|NYLB_PAEUR	392	Beta-lactamase.aln	429	4.1e-142	479.4	2e-145	8.5e-142	478.3	1	421	1	391	1	392	0.99	1	1	0.9114219114219114	1.0739795918367347	Beta-lactamase
sp|P9WLZ2|Y1367_MYCTO	401	Beta-lactamase.aln	429	6e-72	248.2	1.8e-75	7.7e-72	247.8	46	381	15	365	6	377	0.92	1	1	0.8181818181818182	0.8379052369077307	Beta-lactamase
sp|P9WLZ3|Y1367_MYCTU	401	Beta-lactamase.aln	429	6e-72	248.2	1.8e-75	7.7e-72	247.8	46	381	15	365	6	377	0.92	1	1	0.8181818181818182	0.8379052369077307	Beta-lactamase
sp|A1IHE7|ACMB_GORST	401	Beta-lactamase.aln	429	3.4e-71	245.7	9.2e-75	4e-71	245.5	34	399	17	400	2	401	0.9	1	1	0.8951048951048951	0.912718204488778	Beta-lactamase
sp|Q9KX40|ESTB_BURGA	392	Beta-lactamase.aln	429	1.3e-52	184.5	3.7e-56	1.6e-52	184.2	34	396	19	391	3	392	0.87	1	1	0.8694638694638694	0.9260204081632653	Beta-lactamase
sp|Q06317|PBP4_AMYLA	381	Beta-lactamase.aln	429	9.5e-49	171.7	2.8e-52	1.2e-48	171.4	43	378	14	328	5	345	0.86	1	1	0.7342657342657343	0.8818897637795275	Beta-lactamase
sp|B6H6L7|PCEST_PENRW	399	Beta-lactamase.aln	429	6e-48	169.1	1.5e-51	6.6e-48	169.0	37	405	1	396	1	399	0.83	1	1	0.9230769230769231	0.924812030075188	Beta-lactamase
sp|Q9Y7D1|LOVD_ASPTE	413	Beta-lactamase.aln	429	1.2e-46	164.8	3.7e-50	1.6e-46	164.4	26	398	6	410	2	412	0.83	1	1	0.9440559440559441	0.9031476997578692	Beta-lactamase
sp|Q0C8M0|LOVD_ASPTN	413	Beta-lactamase.aln	429	4.3e-46	163.0	1.3e-49	5.7e-46	162.6	26	398	6	410	2	412	0.83	1	1	0.9440559440559441	0.9031476997578692	Beta-lactamase
sp|Q8J0G0|MLCH_PENCI	418	Beta-lactamase.aln	429	4.9e-45	159.5	1.4e-48	6.1e-45	159.2	22	396	7	412	1	416	0.82	1	1	0.9463869463869464	0.8971291866028708	Beta-lactamase
sp|Q3S2U2|MOKF_MONPI	413	Beta-lactamase.aln	429	1.7e-44	157.7	5.1e-48	2.2e-44	157.4	29	363	29	390	18	402	0.85	1	1	0.8438228438228438	0.8111380145278451	Beta-lactamase
sp|P77619|YFEW_ECOLI	434	Beta-lactamase.aln	429	2.4e-39	140.7	7.5e-43	3.2e-39	140.3	20	384	26	401	12	410	0.82	1	1	0.8764568764568764	0.8410138248847926	Beta-lactamase
sp|P0CU81|CALJ_PENDC	418	Beta-lactamase.aln	429	3.4e-38	137.0	1e-41	4.5e-38	136.6	76	380	65	390	43	413	0.77	1	1	0.7599067599067599	0.7296650717703349	Beta-lactamase
sp|Q8XBJ0|YFEW_ECO57	434	Beta-lactamase.aln	429	5.3e-37	133.0	1.6e-40	7.1e-37	132.6	20	384	26	401	12	410	0.82	1	1	0.8764568764568764	0.8410138248847926	Beta-lactamase
sp|B4TR50|YFEW_SALSV	432	Beta-lactamase.aln	429	9.6e-37	132.2	3e-40	1.3e-36	131.7	19	383	25	399	7	416	0.81	1	1	0.8741258741258742	0.8449074074074074	Beta-lactamase
sp|Q8ZN80|YFEW_SALTY	432	Beta-lactamase.aln	429	1.8e-36	131.3	5.5e-40	2.4e-36	130.9	19	383	25	399	7	417	0.81	1	1	0.8741258741258742	0.8449074074074074	Beta-lactamase
