hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q3C1E3|TPDA1_COMSP	413	TP.aln	329	1.3e-149	503.2	1.5e-153	1.5e-149	503.0	1	323	3	413	3	413	0.99	1	1	1.249240121580547	0.7820823244552058	TP
sp|Q3C1D5|TPDA2_COMSP	413	TP.aln	329	2.4e-149	502.4	2.7e-153	2.7e-149	502.2	1	323	3	413	3	413	0.99	1	1	1.249240121580547	0.7820823244552058	TP
sp|Q3C1D2|TPDR2_COMSP	336	TP.aln	329	2.1e-107	364.5	7.3e-77	7.2e-73	251.0	18	184	1	173	1	174	0.99	1	2	0.5258358662613982	0.49702380952380953	TP
sp|Q3C1D2|TPDR2_COMSP	336	TP.aln	329	2.1e-107	364.5	1e-34	9.9e-31	112.5	216	329	174	317	172	317	0.99	2	2	0.4376899696048632	0.3392857142857143	TP
sp|Q3C1E0|TPDR1_COMSP	336	TP.aln	329	7.5e-107	362.7	1e-76	1e-72	250.5	18	184	1	173	1	174	0.99	1	2	0.5258358662613982	0.49702380952380953	TP
sp|Q3C1E0|TPDR1_COMSP	336	TP.aln	329	7.5e-107	362.7	2.5e-34	2.5e-30	111.2	216	329	174	317	172	317	0.99	2	2	0.4376899696048632	0.3392857142857143	TP
sp|Q5D0X4|TPHB_COMTE	315	TP.aln	329	2.9e-80	275.3	8e-68	7.9e-64	221.3	137	329	67	315	63	315	0.98	2	2	0.756838905775076	0.6126984126984127	TP
sp|Q3C1E1|TPHB_COMSP	315	TP.aln	329	3e-80	275.2	7e-68	6.9e-64	221.5	137	329	67	315	63	315	0.98	2	2	0.756838905775076	0.6126984126984127	TP
sp|Q84BZ3|ANDAC_BURCE	423	TP.aln	329	4.2e-34	123.6	5.6e-38	5.5e-34	123.2	31	318	89	422	68	423	0.88	1	1	1.0151975683890577	0.6808510638297872	TP
sp|Q3C1E2|TPDB1_COMSP	154	TP.aln	329	1.9e-31	114.8	2.9e-32	2.9e-28	104.4	118	239	39	153	27	154	0.92	2	2	0.3495440729483283	0.7922077922077922	TP
sp|Q3C1D4|TPDB2_COMSP	154	TP.aln	329	4.6e-31	113.6	4.8e-32	4.7e-28	103.7	119	239	40	153	28	154	0.92	2	2	0.3465045592705167	0.7857142857142857	TP
sp|O52379|NAGG_RALSP	423	TP.aln	329	3.3e-20	77.9	4.1e-24	4e-20	77.6	9	318	74	422	53	423	0.81	1	1	1.060790273556231	0.7328605200945626	TP
