hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P07062|NYLB2_PAEUR	392	Beta-lactamase.aln	431	7.6e-151	508.1	3.6e-154	1.5e-150	507.1	2	421	2	391	1	392	0.96	1	1	0.9048723897911833	1.0714285714285714	Beta-lactamase
sp|P07061|NYLB_PAEUR	392	Beta-lactamase.aln	431	2e-142	480.4	9.3e-146	4e-142	479.4	1	421	1	391	1	392	0.99	1	1	0.9071925754060325	1.0739795918367347	Beta-lactamase
sp|P9WLZ2|Y1367_MYCTO	401	Beta-lactamase.aln	431	9e-72	247.6	2.7e-75	1.1e-71	247.2	46	381	15	365	6	377	0.92	1	1	0.814385150812065	0.8379052369077307	Beta-lactamase
sp|P9WLZ3|Y1367_MYCTU	401	Beta-lactamase.aln	431	9e-72	247.6	2.7e-75	1.1e-71	247.2	46	381	15	365	6	377	0.92	1	1	0.814385150812065	0.8379052369077307	Beta-lactamase
sp|A1IHE7|ACMB_GORST	401	Beta-lactamase.aln	431	5.3e-71	245.0	1.4e-74	6.1e-71	244.8	42	399	23	400	2	401	0.91	1	1	0.877030162412993	0.8927680798004988	Beta-lactamase
sp|Q9KX40|ESTB_BURGA	392	Beta-lactamase.aln	431	1.6e-52	184.1	4.7e-56	2e-52	183.8	34	396	19	391	3	392	0.87	1	1	0.8654292343387471	0.9260204081632653	Beta-lactamase
sp|Q06317|PBP4_AMYLA	381	Beta-lactamase.aln	431	9.8e-49	171.7	2.9e-52	1.2e-48	171.3	43	378	14	328	5	345	0.86	1	1	0.7308584686774942	0.8818897637795275	Beta-lactamase
sp|B6H6L7|PCEST_PENRW	399	Beta-lactamase.aln	431	8.5e-48	168.6	2.2e-51	9.4e-48	168.4	37	404	1	395	1	399	0.83	1	1	0.9164733178654292	0.9223057644110275	Beta-lactamase
sp|Q9Y7D1|LOVD_ASPTE	413	Beta-lactamase.aln	431	1.4e-46	164.5	4.5e-50	1.9e-46	164.1	26	398	6	410	2	412	0.83	1	1	0.9396751740139211	0.9031476997578692	Beta-lactamase
sp|Q0C8M0|LOVD_ASPTN	413	Beta-lactamase.aln	431	5.1e-46	162.7	1.6e-49	6.9e-46	162.3	26	398	6	410	2	412	0.83	1	1	0.9396751740139211	0.9031476997578692	Beta-lactamase
sp|Q8J0G0|MLCH_PENCI	418	Beta-lactamase.aln	431	7.6e-45	158.9	2.2e-48	9.5e-45	158.5	24	396	9	412	1	416	0.82	1	1	0.9373549883990719	0.8923444976076556	Beta-lactamase
sp|Q3S2U2|MOKF_MONPI	413	Beta-lactamase.aln	431	2e-44	157.4	6.2e-48	2.7e-44	157.1	29	363	29	390	18	402	0.85	1	1	0.839907192575406	0.8111380145278451	Beta-lactamase
sp|P77619|YFEW_ECOLI	434	Beta-lactamase.aln	431	2.7e-39	140.6	8.2e-43	3.6e-39	140.2	20	384	26	401	12	410	0.82	1	1	0.8723897911832946	0.8410138248847926	Beta-lactamase
sp|P0CU81|CALJ_PENDC	418	Beta-lactamase.aln	431	4e-38	136.7	1.2e-41	5.2e-38	136.3	76	379	65	389	43	413	0.77	1	1	0.7540603248259861	0.7272727272727273	Beta-lactamase
sp|Q8XBJ0|YFEW_ECO57	434	Beta-lactamase.aln	431	5.7e-37	132.9	1.8e-40	7.7e-37	132.5	20	384	26	401	12	410	0.82	1	1	0.8723897911832946	0.8410138248847926	Beta-lactamase
sp|B4TR50|YFEW_SALSV	432	Beta-lactamase.aln	431	1.9e-36	131.2	6e-40	2.6e-36	130.7	19	383	25	399	8	415	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|Q8ZN80|YFEW_SALTY	432	Beta-lactamase.aln	431	3.5e-36	130.3	1.1e-39	4.7e-36	129.9	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|Q8Z4S7|YFEW_SALTI	432	Beta-lactamase.aln	431	3.7e-36	130.2	1.2e-39	5e-36	129.8	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|A9N307|YFEW_SALPB	432	Beta-lactamase.aln	431	4.6e-36	129.9	1.5e-39	6.3e-36	129.5	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|B4T0K5|YFEW_SALNS	432	Beta-lactamase.aln	431	4.6e-36	129.9	1.5e-39	6.3e-36	129.5	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|B5FQG8|YFEW_SALDC	432	Beta-lactamase.aln	431	4.6e-36	129.9	1.5e-39	6.3e-36	129.5	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|C0PZ64|YFEW_SALPC	432	Beta-lactamase.aln	431	4.6e-36	129.9	1.5e-39	6.3e-36	129.5	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|Q57LN2|YFEW_SALCH	432	Beta-lactamase.aln	431	4.6e-36	129.9	1.5e-39	6.3e-36	129.5	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|B5F0K5|YFEW_SALA4	432	Beta-lactamase.aln	431	4.7e-36	129.9	1.5e-39	6.4e-36	129.4	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|B5R4I5|YFEW_SALEP	432	Beta-lactamase.aln	431	6e-36	129.5	1.9e-39	8.1e-36	129.1	20	383	26	399	10	416	0.81	1	1	0.8677494199535963	0.8425925925925926	Beta-lactamase
sp|B4TD53|YFEW_SALHS	432	Beta-lactamase.aln	431	1.3e-35	128.4	4.3e-39	1.8e-35	127.9	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|O05213|AMIE_BACSU	441	Beta-lactamase.aln	431	2.6e-35	127.4	7.1e-39	3.1e-35	127.2	10	379	24	404	1	414	0.8	1	1	0.8839907192575406	0.8390022675736961	Beta-lactamase
sp|B5BB26|YFEW_SALPK	432	Beta-lactamase.aln	431	2.6e-35	127.4	8.3e-39	3.6e-35	127.0	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|Q5PCQ2|YFEW_SALPA	432	Beta-lactamase.aln	431	2.6e-35	127.4	8.3e-39	3.6e-35	127.0	19	383	25	399	8	416	0.81	1	1	0.8700696055684455	0.8449074074074074	Beta-lactamase
sp|B5RCU8|YFEW_SALG2	432	Beta-lactamase.aln	431	1.2e-33	122.0	3.7e-37	1.6e-33	121.6	20	383	26	399	10	416	0.81	1	1	0.8677494199535963	0.8425925925925926	Beta-lactamase
sp|P15555|DAC_STRSR	406	Beta-lactamase.aln	431	3.5e-31	113.9	1.1e-34	4.7e-31	113.4	17	378	22	355	13	400	0.81	1	1	0.7749419953596288	0.8916256157635468	Beta-lactamase
sp|Q8NUZ4|FLP_STAAW	498	Beta-lactamase.aln	431	6.1e-30	109.7	5.1e-33	2.2e-29	107.9	18	264	24	255	10	284	0.88	1	2	0.5382830626450116	0.4959839357429719	Beta-lactamase
sp|Q6G6M9|FLP_STAAS	498	Beta-lactamase.aln	431	6.1e-30	109.7	3.8e-33	1.6e-29	108.3	18	265	24	257	11	372	0.87	1	1	0.54292343387471	0.4979919678714859	Beta-lactamase
sp|P83111|LACTB_HUMAN	547	Beta-lactamase.aln	431	7.4e-30	109.5	9.9e-33	4.3e-29	107.0	47	297	121	417	104	423	0.89	1	1	0.6890951276102089	0.45886654478976235	Beta-lactamase
sp|Q9EP89|LACTB_MOUSE	551	Beta-lactamase.aln	431	1.6e-29	108.4	9.1e-32	3.9e-28	103.8	47	297	119	421	102	434	0.85	1	1	0.703016241299304	0.455535390199637	Beta-lactamase
sp|Q6GDZ1|FLP_STAAR	499	Beta-lactamase.aln	431	2.1e-29	107.9	1.4e-32	5.9e-29	106.5	20	265	26	257	16	376	0.87	1	1	0.5382830626450116	0.49298597194388777	Beta-lactamase
sp|P83095|LACTB_BOVIN	556	Beta-lactamase.aln	431	2.8e-29	107.6	7.6e-32	3.3e-28	104.0	48	297	124	424	106	430	0.87	1	1	0.6983758700696056	0.44964028776978415	Beta-lactamase
sp|Q2FVH6|FLP_STAA8	498	Beta-lactamase.aln	431	3.6e-29	107.2	2.3e-32	9.8e-29	105.8	20	265	26	257	13	372	0.88	1	1	0.5382830626450116	0.4939759036144578	Beta-lactamase
sp|Q9KJ74|FLP_STAAU	498	Beta-lactamase.aln	431	3.6e-29	107.2	2.3e-32	9.8e-29	105.8	20	265	26	257	13	372	0.88	1	1	0.5382830626450116	0.4939759036144578	Beta-lactamase
sp|Q7A3Q5|FLP_STAAN	498	Beta-lactamase.aln	431	3.8e-29	107.1	2.3e-32	1e-28	105.7	20	265	26	257	12	374	0.87	1	1	0.5382830626450116	0.4939759036144578	Beta-lactamase
sp|Q99RJ0|FLP_STAAM	498	Beta-lactamase.aln	431	3.8e-29	107.1	2.3e-32	1e-28	105.7	20	265	26	257	12	374	0.87	1	1	0.5382830626450116	0.4939759036144578	Beta-lactamase
sp|Q5HDB2|FLP_STAAC	498	Beta-lactamase.aln	431	4e-29	107.1	2.7e-32	1.2e-28	105.5	20	265	26	257	16	371	0.88	1	1	0.5382830626450116	0.4939759036144578	Beta-lactamase
sp|P71778|LIPL_MYCTU	429	Beta-lactamase.aln	431	9.7e-29	105.8	8.5e-32	3.7e-28	103.9	28	380	26	380	19	409	0.82	1	1	0.8236658932714617	0.8228438228438228	Beta-lactamase
sp|Q09621|LACT2_CAEEL	473	Beta-lactamase.aln	431	2.7e-28	104.3	1.2e-31	5.4e-28	103.3	30	401	68	456	63	466	0.87	1	1	0.9025522041763341	0.7864693446088795	Beta-lactamase
sp|O31773|PBPX_BACSU	391	Beta-lactamase.aln	431	8.8e-26	96.0	3.7e-29	1.6e-25	95.2	24	346	67	342	50	390	0.81	1	1	0.6403712296983759	0.8260869565217391	Beta-lactamase
sp|P94958|AMPC_MORMO	379	Beta-lactamase.aln	431	1.5e-24	92.0	1e-27	4.4e-24	90.5	29	392	23	372	14	379	0.73	1	1	0.8120649651972158	0.9604221635883905	Beta-lactamase
sp|P0AD70|AMPH_ECOLI	385	Beta-lactamase.aln	431	1.9e-24	91.6	6.1e-28	2.6e-24	91.2	49	392	47	369	12	374	0.77	1	1	0.7494199535962877	0.8935064935064935	Beta-lactamase
sp|P0AD71|AMPH_ECO57	385	Beta-lactamase.aln	431	1.9e-24	91.6	6.1e-28	2.6e-24	91.2	49	392	47	369	12	374	0.77	1	1	0.7494199535962877	0.8935064935064935	Beta-lactamase
sp|P05193|AMPC_CITFR	381	Beta-lactamase.aln	431	2.2e-24	91.5	3.8e-27	1.6e-23	88.6	40	384	35	368	12	379	0.79	1	1	0.7749419953596288	0.905511811023622	Beta-lactamase
sp|O53044|BLC04_KLEPN	381	Beta-lactamase.aln	431	3.8e-23	87.4	5.6e-26	2.4e-22	84.7	40	383	35	366	13	380	0.78	1	1	0.7703016241299304	0.9028871391076115	Beta-lactamase
sp|Q48434|BLCY2_KLEPN	381	Beta-lactamase.aln	431	7.4e-23	86.4	1.1e-25	4.8e-22	83.7	40	383	35	366	12	380	0.78	1	1	0.7703016241299304	0.9028871391076115	Beta-lactamase
sp|P00811|AMPC_ECOLI	377	Beta-lactamase.aln	431	5.5e-22	83.5	4.6e-25	2e-21	81.7	40	383	31	362	11	376	0.72	1	1	0.7703016241299304	0.9124668435013262	Beta-lactamase
sp|P05364|AMPC_ENTCL	381	Beta-lactamase.aln	431	6.7e-22	83.2	1.6e-23	7.1e-20	76.6	35	288	29	251	17	285	0.83	1	2	0.5174013921113689	0.6666666666666666	Beta-lactamase
sp|P32959|PBPE_BACSU	451	Beta-lactamase.aln	431	1.2e-20	79.2	4e-24	1.7e-20	78.6	33	242	5	196	1	212	0.91	1	1	0.44547563805104406	0.4656319290465632	Beta-lactamase
sp|P45460|AMPC_YEREN	388	Beta-lactamase.aln	431	6.2e-20	76.8	3.1e-23	1.4e-19	75.7	41	387	41	375	26	388	0.76	1	1	0.777262180974478	0.8943298969072165	Beta-lactamase
sp|Q45129|Y4209_ALKPO	336	Beta-lactamase.aln	431	4.3e-19	74.0	5.9e-11	2.5e-07	35.2	187	382	125	313	121	334	0.78	2	2	0.4385150812064965	0.5833333333333334	Beta-lactamase
sp|O69773|AMPC_PROST	384	Beta-lactamase.aln	431	5.5e-19	73.6	6.1e-22	2.6e-18	71.4	28	295	26	261	5	380	0.83	1	1	0.5475638051044084	0.6979166666666666	Beta-lactamase
sp|Q54VJ1|BLML2_DICDI	548	Beta-lactamase.aln	431	1.6e-18	72.1	4.9e-22	2.1e-18	71.7	32	346	43	337	31	395	0.79	1	1	0.6844547563805105	0.5748175182481752	Beta-lactamase
sp|A0A2V5GVB6|UNGD_ASPV1	567	Beta-lactamase.aln	431	3.7e-18	70.9	1.3e-21	5.8e-18	70.3	50	294	29	266	5	274	0.79	1	1	0.5522041763341067	0.43209876543209874	Beta-lactamase
sp|Q54SB6|BLML3_DICDI	552	Beta-lactamase.aln	431	5.5e-18	70.4	1.8e-21	7.9e-18	69.8	35	383	43	389	13	406	0.73	1	1	0.8051044083526682	0.6322463768115942	Beta-lactamase
sp|P18539|AMPC_SERMA	376	Beta-lactamase.aln	431	5.7e-18	70.3	2.5e-21	1.1e-17	69.4	31	296	21	254	16	375	0.78	1	1	0.54292343387471	0.7074468085106383	Beta-lactamase
sp|P85302|AMPC_PSEFL	358	Beta-lactamase.aln	431	7.4e-18	69.9	1.3e-20	5.6e-17	67.0	37	389	8	348	3	358	0.75	1	1	0.7911832946635731	0.9860335195530726	Beta-lactamase
sp|W6YKT9|PGH_COCC2	644	Beta-lactamase.aln	431	1e-17	69.4	3.7e-21	1.6e-17	68.8	34	257	314	529	305	573	0.77	1	1	0.5011600928074246	0.34782608695652173	Beta-lactamase
sp|A0A3G1DJI3|MFM10_PHOSM	595	Beta-lactamase.aln	431	1.8e-17	68.6	7e-21	3e-17	67.9	51	296	65	316	42	319	0.81	1	1	0.5846867749419954	0.4134453781512605	Beta-lactamase
sp|A0A0A7LRQ7|PGH_EPISO	642	Beta-lactamase.aln	431	2.2e-16	65.1	7.8e-20	3.4e-16	64.5	33	242	314	516	301	552	0.81	1	1	0.4709976798143852	0.32710280373831774	Beta-lactamase
sp|Q6GI27|FMTA_STAAR	397	Beta-lactamase.aln	431	2.7e-16	64.8	1.2e-19	5.4e-16	63.8	54	270	91	279	76	300	0.84	1	1	0.4385150812064965	0.5465994962216625	Beta-lactamase
sp|P24735|AMPC_PSEAE	397	Beta-lactamase.aln	431	3.2e-16	64.5	2.2e-19	9.3e-16	63.0	34	383	35	373	17	390	0.72	1	1	0.7865429234338747	0.8816120906801007	Beta-lactamase
sp|A0A1B4XBI2|SDNR_SORAA	547	Beta-lactamase.aln	431	4.4e-16	64.1	1.6e-19	6.9e-16	63.4	28	400	36	402	30	418	0.78	1	1	0.851508120649652	0.6819012797074955	Beta-lactamase
sp|O50608|FMTA_STAAU	397	Beta-lactamase.aln	431	6.2e-16	63.6	2.2e-19	9.7e-16	63.0	54	257	91	269	67	299	0.86	1	1	0.41531322505800466	0.5138539042821159	Beta-lactamase
sp|Q6GAF6|FMTA_STAAS	397	Beta-lactamase.aln	431	6.2e-16	63.6	2.2e-19	9.7e-16	63.0	54	257	91	269	67	299	0.86	1	1	0.41531322505800466	0.5138539042821159	Beta-lactamase
sp|Q7A185|FMTA_STAAW	397	Beta-lactamase.aln	431	6.2e-16	63.6	2.2e-19	9.7e-16	63.0	54	257	91	269	67	299	0.86	1	1	0.41531322505800466	0.5138539042821159	Beta-lactamase
sp|Q7A2T0|FMTA_STAAM	397	Beta-lactamase.aln	431	6.2e-16	63.6	2.2e-19	9.7e-16	63.0	54	257	91	269	67	299	0.86	1	1	0.41531322505800466	0.5138539042821159	Beta-lactamase
sp|Q7A6A2|FMTA_STAAN	397	Beta-lactamase.aln	431	6.2e-16	63.6	2.2e-19	9.7e-16	63.0	54	257	91	269	67	299	0.86	1	1	0.41531322505800466	0.5138539042821159	Beta-lactamase
sp|Q2FZK3|FMTA_STAA8	397	Beta-lactamase.aln	431	6.2e-16	63.6	2.2e-19	9.7e-16	63.0	54	257	91	269	67	299	0.86	1	1	0.41531322505800466	0.5138539042821159	Beta-lactamase
sp|Q5HH27|FMTA_STAAC	397	Beta-lactamase.aln	431	6.2e-16	63.6	2.2e-19	9.7e-16	63.0	54	257	91	269	67	299	0.86	1	1	0.41531322505800466	0.5138539042821159	Beta-lactamase
sp|A0A2I1D2N1|UNGD_ASPC2	534	Beta-lactamase.aln	431	6.5e-16	63.5	2.1e-19	8.9e-16	63.1	42	309	21	273	12	358	0.78	1	1	0.5870069605568445	0.50187265917603	Beta-lactamase
sp|Q48743|AMPC_LYSLA	385	Beta-lactamase.aln	431	8.9e-16	63.1	4.1e-19	1.8e-15	62.1	35	330	30	306	12	380	0.7	1	1	0.642691415313225	0.7688311688311689	Beta-lactamase
sp|Q7KWX1|BLML1_DICDI	628	Beta-lactamase.aln	431	9.9e-16	62.9	6.7e-11	2.9e-07	35.0	32	212	51	236	9	246	0.77	1	2	0.43155452436194897	0.28821656050955413	Beta-lactamase
sp|Q54SB5|BLML4_DICDI	569	Beta-lactamase.aln	431	1.7e-15	62.1	5.6e-19	2.4e-15	61.6	40	386	46	387	31	408	0.72	1	1	0.7935034802784223	0.6098418277680141	Beta-lactamase
sp|A0A345BJP5|CLZ13_COCLU	613	Beta-lactamase.aln	431	3e-15	61.3	2.5e-18	1.1e-14	59.5	46	295	60	335	36	338	0.78	1	1	0.6403712296983759	0.4078303425774878	Beta-lactamase
sp|A6WYS5|DAP_BRUA4	520	Beta-lactamase.aln	431	4.4e-15	60.8	2.2e-18	9.7e-15	59.7	39	294	11	242	2	245	0.83	1	1	0.5382830626450116	0.49230769230769234	Beta-lactamase
sp|Q9ZBA9|DAP_BRUAN	520	Beta-lactamase.aln	431	6.3e-15	60.3	1.4e-17	6.2e-14	57.0	36	294	8	242	2	244	0.83	1	2	0.5452436194895591	0.4980769230769231	Beta-lactamase
sp|C7YS44|PGH_FUSV7	636	Beta-lactamase.aln	431	2e-13	55.3	7.7e-17	3.3e-13	54.6	33	257	307	525	277	568	0.82	1	1	0.5081206496519721	0.35377358490566035	Beta-lactamase
sp|Q5FRJ7|DAP_GLUOX	525	Beta-lactamase.aln	431	2.2e-13	55.2	1.2e-16	5e-13	54.0	31	294	3	243	1	249	0.86	1	1	0.5591647331786543	0.5028571428571429	Beta-lactamase
sp|C0RM93|DAP_BRUMB	518	Beta-lactamase.aln	431	1.3e-12	52.7	4.1e-15	1.8e-11	48.9	36	294	8	242	1	245	0.82	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|Q8YD27|DAP_BRUME	518	Beta-lactamase.aln	431	1.3e-12	52.7	4.1e-15	1.8e-11	48.9	36	294	8	242	1	245	0.82	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|A9MCM7|DAP_BRUC2	518	Beta-lactamase.aln	431	1.3e-12	52.7	4.1e-15	1.8e-11	48.9	36	294	8	242	1	245	0.82	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|A9WVV8|DAP_BRUSI	518	Beta-lactamase.aln	431	1.3e-12	52.7	4.1e-15	1.8e-11	48.9	36	294	8	242	1	245	0.82	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|B2SD81|DAP_BRUA1	518	Beta-lactamase.aln	431	1.3e-12	52.7	4.1e-15	1.8e-11	48.9	36	294	8	242	1	245	0.82	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|Q2YLB4|DAP_BRUA2	518	Beta-lactamase.aln	431	1.3e-12	52.7	4.1e-15	1.8e-11	48.9	36	294	8	242	1	245	0.82	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|Q579G4|DAP_BRUAB	518	Beta-lactamase.aln	431	1.3e-12	52.7	4.1e-15	1.8e-11	48.9	36	294	8	242	1	245	0.82	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|Q8FV99|DAP_BRUSU	518	Beta-lactamase.aln	431	1.3e-12	52.7	4.1e-15	1.8e-11	48.9	36	294	8	242	1	245	0.82	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|Q3IX78|DAP_CERS4	516	Beta-lactamase.aln	431	1.8e-12	52.2	6.5e-16	2.8e-12	51.6	52	290	23	238	14	242	0.83	1	1	0.5011600928074246	0.4631782945736434	Beta-lactamase
sp|A3PRU3|DAP_CERS1	516	Beta-lactamase.aln	431	2.3e-12	51.8	8e-16	3.4e-12	51.3	52	290	23	238	14	242	0.82	1	1	0.5011600928074246	0.4631782945736434	Beta-lactamase
sp|A5VVL2|DAP_BRUO2	518	Beta-lactamase.aln	431	3e-12	51.4	8.9e-15	3.8e-11	47.8	36	294	8	242	1	282	0.83	1	1	0.5452436194895591	0.5	Beta-lactamase
sp|B9KTA6|DAP_CERSK	516	Beta-lactamase.aln	431	4.2e-12	51.0	1.5e-15	6.3e-12	50.4	52	290	23	238	14	242	0.82	1	1	0.5011600928074246	0.4631782945736434	Beta-lactamase
sp|P71420|BLCY1_KLEPN	382	Beta-lactamase.aln	431	5.9e-12	50.5	9e-15	3.9e-11	47.8	37	383	36	366	25	380	0.75	1	1	0.7679814385150812	0.9083769633507853	Beta-lactamase
sp|P17421|FIMDH_DICNO	394	Beta-lactamase.aln	431	8.5e-12	50.0	2.8e-15	1.2e-11	49.5	59	288	81	292	40	298	0.73	1	1	0.4918793503480278	0.583756345177665	Beta-lactamase
sp|Q99QC1|BLC10_KLEAE	382	Beta-lactamase.aln	431	1.2e-11	49.5	1.7e-14	7.2e-11	46.9	37	382	36	365	25	380	0.74	1	1	0.765661252900232	0.9057591623036649	Beta-lactamase
sp|P17420|FIMDD_DICNO	394	Beta-lactamase.aln	431	4.2e-11	47.7	1.3e-14	5.6e-11	47.3	59	226	81	234	40	296	0.78	1	1	0.35730858468677495	0.4263959390862944	Beta-lactamase
sp|A8MY62|BLML_HUMAN	500	Beta-lactamase.aln	431	2.5e-10	45.1	1e-13	4.4e-10	44.3	30	298	18	271	12	293	0.83	1	1	0.5893271461716937	0.538	Beta-lactamase
sp|A0A3B1EFQ0|STR5_STRTC	278	Beta-lactamase.aln	431	2.5e-10	45.1	7.1e-14	3.1e-10	44.8	46	210	83	260	55	269	0.85	1	1	0.41299303944315546	0.5935251798561151	Beta-lactamase
sp|P86789|GIGA6_MAGGI	302	Beta-lactamase.aln	431	1.4e-08	39.4	1.6e-11	6.9e-08	37.1	36	295	28	276	23	278	0.84	1	1	0.5777262180974478	0.8609271523178808	Beta-lactamase
sp|D4AXL1|BLML_ARTBC	595	Beta-lactamase.aln	431	2e-07	35.6	8.4e-11	3.6e-07	34.7	72	291	99	316	86	353	0.8	1	1	0.505800464037123	0.3697478991596639	Beta-lactamase
