hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P0DX29|PETH1_AMYMS	309	Impranil.aln	309	5.9e-151	507.0	1.3e-154	7.3e-151	506.7	17	309	29	309	19	309	0.96	1	1	0.9093851132686084	0.948220064724919	Impranil
sp|Q9L2J6|BHETH_STRCO	310	Impranil.aln	309	1.5e-135	456.4	3.3e-139	1.8e-135	456.1	33	307	44	308	3	310	0.94	1	1	0.8576051779935275	0.8870967741935484	Impranil
sp|Q47RJ6|PETH2_THEFY	301	Impranil.aln	309	3.2e-117	396.2	6.8e-121	3.7e-117	396.0	17	307	19	301	3	301	0.94	1	1	0.9158576051779935	0.9667774086378738	Impranil
sp|Q6A0I4|PETH2_THEFU	301	Impranil.aln	309	3.2e-117	396.2	6.8e-121	3.7e-117	396.0	17	307	19	301	3	301	0.94	1	1	0.9158576051779935	0.9667774086378738	Impranil
sp|D4Q9N1|PETH1_THEAE	296	Impranil.aln	309	8.5e-117	394.8	1.9e-120	1e-116	394.6	17	307	15	296	4	296	0.93	1	1	0.912621359223301	0.9831081081081081	Impranil
sp|G8GER6|PETH1_THEFU	319	Impranil.aln	309	2e-116	393.6	4.2e-120	2.3e-116	393.4	20	307	40	319	19	319	0.94	1	1	0.9061488673139159	0.9028213166144201	Impranil
sp|Q47RJ7|PETH1_THEFY	319	Impranil.aln	309	2e-116	393.6	4.2e-120	2.3e-116	393.4	20	307	40	319	19	319	0.94	1	1	0.9061488673139159	0.9028213166144201	Impranil
sp|E9LVH8|PETH1_THECS	262	Impranil.aln	309	1e-114	388.0	2e-118	1.1e-114	387.9	40	307	3	262	1	262	0.98	1	1	0.8414239482200647	1.0229007633587786	Impranil
sp|E9LVH9|PETH2_THECS	262	Impranil.aln	309	6.3e-114	385.4	1.3e-117	7e-114	385.2	40	307	3	262	1	262	0.98	1	1	0.8414239482200647	1.0229007633587786	Impranil
sp|F7IX06|PETH2_THEAE	300	Impranil.aln	309	1.3e-112	381.0	2.9e-116	1.6e-112	380.8	17	307	18	300	5	300	0.92	1	1	0.9158576051779935	0.97	Impranil
sp|G9BY57|PETH_UNKP	293	Impranil.aln	309	3.3e-103	350.2	7.1e-107	3.9e-103	349.9	17	307	14	291	3	293	0.92	1	1	0.8996763754045307	0.9931740614334471	Impranil
sp|A0A0K8P6T7|PETH_PISS1	290	Impranil.aln	309	1.4e-96	328.4	2.9e-100	1.6e-96	328.2	21	305	10	289	2	290	0.92	1	1	0.9061488673139159	0.9827586206896551	Impranil
sp|P19833|LIP1_MORS1	319	Impranil.aln	309	2.9e-75	258.4	6.1e-79	3.4e-75	258.2	56	302	76	314	21	319	0.88	1	1	0.7734627831715211	0.774294670846395	Impranil
sp|F8QQ74|NAAC_BRASZ	248	Impranil.aln	309	7e-07	33.8	1.5e-10	8.1e-07	33.6	68	195	9	144	1	178	0.75	1	1	0.4401294498381877	0.5161290322580645	Impranil
