hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q3C1E3|TPDA1_COMSP	413	ISP-domain.aln	413	1e-300	1001.3	1.8e-304	1.1e-300	1001.1	1	413	1	413	1	413	1.0	1	1	1.0	1.0	ISP-domain
sp|Q3C1D5|TPDA2_COMSP	413	ISP-domain.aln	413	1.5e-300	1000.7	2.7e-304	1.7e-300	1000.5	1	413	1	413	1	413	1.0	1	1	1.0	1.0	ISP-domain
sp|Q84BZ3|ANDAC_BURCE	423	ISP-domain.aln	413	6.7e-119	402.4	1.3e-122	8e-119	402.1	13	408	26	422	16	423	0.97	1	1	0.9612590799031477	0.9361702127659575	ISP-domain
sp|O52379|NAGG_RALSP	423	ISP-domain.aln	413	5.5e-90	307.2	1.1e-93	6.7e-90	306.9	7	408	16	422	14	423	0.96	1	1	0.9854721549636803	0.950354609929078	ISP-domain
sp|Q52028|BPHA_METFU	458	ISP-domain.aln	413	1.2e-31	115.0	3.4e-35	2.1e-31	114.2	20	214	39	237	32	244	0.9	1	1	0.48184019370460046	0.425764192139738	ISP-domain
sp|P37333|BPHA_PARXL	459	ISP-domain.aln	413	2.2e-31	114.1	5.4e-35	3.4e-31	113.5	20	212	39	235	32	244	0.9	1	1	0.47699757869249393	0.420479302832244	ISP-domain
sp|Q53122|BPHA1_RHOJR	460	ISP-domain.aln	413	1.3e-30	111.6	3.2e-34	2e-30	111.0	15	212	32	226	22	234	0.86	1	1	0.4721549636803874	0.43043478260869567	ISP-domain
sp|P07769|BENA_ACIAD	461	ISP-domain.aln	413	3e-30	110.4	9.6e-34	6e-30	109.4	16	239	30	254	16	264	0.83	1	1	0.5447941888619855	0.48590021691973967	ISP-domain
sp|P23099|XYLX_PSEPU	454	ISP-domain.aln	413	3.5e-30	110.2	8e-34	5e-30	109.7	19	225	30	236	21	253	0.87	1	1	0.5012106537530266	0.45594713656387664	ISP-domain
sp|Q46372|BPHA_COMTE	457	ISP-domain.aln	413	8.4e-30	108.9	2.2e-33	1.4e-29	108.2	13	214	32	237	22	282	0.85	1	1	0.49878934624697335	0.4420131291028446	ISP-domain
sp|Q0T1Y1|HCAE_SHIF8	453	ISP-domain.aln	413	1.5e-29	108.1	3.6e-32	2.2e-28	104.2	5	215	9	218	6	225	0.89	1	2	0.5084745762711864	0.46578366445916114	ISP-domain
sp|Q0T1Y1|HCAE_SHIF8	453	ISP-domain.aln	413	1.5e-29	108.1	0.5	3100.0	1.6	323	385	336	402	313	435	0.69	2	2	0.162227602905569	0.1390728476821192	ISP-domain
sp|A8A344|HCAE_ECOHS	453	ISP-domain.aln	413	1.8e-29	107.8	4.1e-32	2.5e-28	104.0	5	215	9	218	6	225	0.89	1	2	0.5084745762711864	0.46578366445916114	ISP-domain
sp|A8A344|HCAE_ECOHS	453	ISP-domain.aln	413	1.8e-29	107.8	0.54	3400.0	1.5	334	385	347	402	309	435	0.66	2	2	0.13559322033898305	0.11479028697571744	ISP-domain
sp|P0ABR5|HCAE_ECOLI	453	ISP-domain.aln	413	2.9e-29	107.2	4.1e-32	2.5e-28	104.0	5	215	9	218	6	225	0.89	1	2	0.5084745762711864	0.46578366445916114	ISP-domain
sp|P0ABR5|HCAE_ECOLI	453	ISP-domain.aln	413	2.9e-29	107.2	0.92	5700.0	0.8	343	385	358	402	321	435	0.72	2	2	0.1089588377723971	0.09492273730684327	ISP-domain
sp|P0ABR6|HCAE_ECO57	453	ISP-domain.aln	413	2.9e-29	107.2	4.1e-32	2.5e-28	104.0	5	215	9	218	6	225	0.89	1	2	0.5084745762711864	0.46578366445916114	ISP-domain
sp|P0ABR6|HCAE_ECO57	453	ISP-domain.aln	413	2.9e-29	107.2	0.92	5700.0	0.8	343	385	358	402	321	435	0.72	2	2	0.1089588377723971	0.09492273730684327	ISP-domain
sp|Q3YZ15|HCAE_SHISS	453	ISP-domain.aln	413	2.9e-29	107.2	4.1e-32	2.5e-28	104.0	5	215	9	218	6	225	0.89	1	2	0.5084745762711864	0.46578366445916114	ISP-domain
sp|Q3YZ15|HCAE_SHISS	453	ISP-domain.aln	413	2.9e-29	107.2	0.92	5700.0	0.8	343	385	358	402	321	435	0.72	2	2	0.1089588377723971	0.09492273730684327	ISP-domain
sp|Q31XV2|HCAE_SHIBS	453	ISP-domain.aln	413	6.8e-29	105.9	9.5e-32	5.9e-28	102.8	5	215	9	218	6	225	0.89	1	2	0.5084745762711864	0.46578366445916114	ISP-domain
sp|Q31XV2|HCAE_SHIBS	453	ISP-domain.aln	413	6.8e-29	105.9	0.92	5700.0	0.8	343	385	358	402	321	435	0.72	2	2	0.1089588377723971	0.09492273730684327	ISP-domain
sp|Q7N4W0|HCAE_PHOLL	453	ISP-domain.aln	413	7.2e-29	105.9	2.8e-32	1.7e-28	104.6	10	216	14	219	6	241	0.9	1	2	0.49878934624697335	0.45695364238410596	ISP-domain
