hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q588Z2|OPH_SPHS1	364	Peptidase_S9.aln	269	9.4e-87	295.8	1.3e-89	1.1e-86	295.5	8	269	22	364	3	364	0.92	1	1	1.275092936802974	0.7197802197802198	Peptidase_S9
sp|Q9LCQ7|OPH_PSESP	379	Peptidase_S9.aln	269	1.7e-82	281.8	2.3e-85	2e-82	281.6	12	268	55	379	7	379	0.92	1	1	1.20817843866171	0.6781002638522428	Peptidase_S9
sp|Q51718|PHAZ_PSEFL	278	Peptidase_S9.aln	269	2.4e-75	258.4	2.9e-78	2.5e-75	258.3	3	230	3	276	1	278	0.91	1	1	1.0185873605947955	0.8201438848920863	Peptidase_S9
sp|B2NHN2|PHAZ_TALFU	339	Peptidase_S9.aln	269	1.1e-44	157.8	1.6e-47	1.4e-44	157.5	101	269	24	338	12	338	0.98	1	1	1.171003717472119	0.49852507374631266	Peptidase_S9
sp|P70948|YITV_BACSU	255	Peptidase_S9.aln	269	2.4e-32	117.4	3.3e-35	2.9e-32	117.1	23	231	15	254	5	255	0.88	1	1	0.8921933085501859	0.8196078431372549	Peptidase_S9
sp|P39298|YJFP_ECOLI	249	Peptidase_S9.aln	269	8.3e-14	56.6	1.3e-16	1.1e-13	56.1	26	229	19	246	5	249	0.78	1	1	0.8475836431226765	0.8192771084337349	Peptidase_S9
sp|P52090|PHA1_PAULE	414	Peptidase_S9.aln	269	9.3e-14	56.4	1.8e-16	1.6e-13	55.6	8	196	39	249	16	270	0.75	1	1	0.7843866171003717	0.45652173913043476	Peptidase_S9
sp|P39839|YUXL_BACSU	657	Peptidase_S9.aln	269	7.4e-13	53.4	1.3e-15	1.1e-12	52.8	26	216	422	640	398	657	0.66	1	1	0.8141263940520446	0.2907153729071537	Peptidase_S9
sp|A1CSZ8|AXE1_ASPCL	308	Peptidase_S9.aln	269	9e-13	53.2	1.4e-15	1.2e-12	52.7	23	182	53	237	21	252	0.73	1	1	0.6877323420074349	0.5194805194805194	Peptidase_S9
sp|Q8R146|ACPH_MOUSE	732	Peptidase_S9.aln	269	3.6e-12	51.2	1e-14	8.9e-12	49.9	21	229	486	727	480	731	0.72	1	1	0.8996282527881041	0.2855191256830601	Peptidase_S9
sp|Q9L6M9|DLHH_SALTY	270	Peptidase_S9.aln	269	8.2e-12	50.0	1.2e-14	1e-11	49.7	22	231	45	265	19	268	0.78	1	1	0.8215613382899628	0.7777777777777778	Peptidase_S9
sp|B8NBI2|AXE1_ASPFN	307	Peptidase_S9.aln	269	8.5e-12	50.0	1.3e-14	1.1e-11	49.6	23	182	52	236	16	249	0.68	1	1	0.6877323420074349	0.5211726384364821	Peptidase_S9
sp|P13676|ACPH_RAT	732	Peptidase_S9.aln	269	1.3e-11	49.4	3.5e-14	3.1e-11	48.1	22	229	487	727	479	730	0.7	1	1	0.895910780669145	0.28415300546448086	Peptidase_S9
sp|A1DBP9|AXE1_NEOFI	368	Peptidase_S9.aln	269	1.4e-11	49.2	3.1e-14	2.7e-11	48.3	13	185	40	238	14	251	0.73	1	1	0.7397769516728625	0.4701086956521739	Peptidase_S9
sp|Q8X8L4|DLHH_ECO57	271	Peptidase_S9.aln	269	1.6e-11	49.1	2.3e-14	2e-11	48.7	17	231	39	265	15	269	0.79	1	1	0.8438661710037175	0.7933579335793358	Peptidase_S9
sp|P56262|DLHH_ECOLI	271	Peptidase_S9.aln	269	2e-11	48.8	2.9e-14	2.5e-11	48.4	17	231	39	265	15	269	0.79	1	1	0.8438661710037175	0.7933579335793358	Peptidase_S9
sp|A9JPE6|AXE1_ASPFL	307	Peptidase_S9.aln	269	2.1e-11	48.7	3.2e-14	2.8e-11	48.3	23	182	52	236	16	249	0.69	1	1	0.6877323420074349	0.5211726384364821	Peptidase_S9
sp|Q75P26|AXE1_ASPOR	307	Peptidase_S9.aln	269	2.1e-11	48.7	3.2e-14	2.8e-11	48.3	23	182	52	236	16	249	0.69	1	1	0.6877323420074349	0.5211726384364821	Peptidase_S9
sp|Q4WBW4|AXE1_ASPFU	371	Peptidase_S9.aln	269	8.9e-11	46.6	1e-13	8.9e-11	46.6	20	185	47	238	9	250	0.72	1	1	0.7137546468401487	0.4474393530997305	Peptidase_S9
sp|P19205|ACPH_PIG	732	Peptidase_S9.aln	269	9.8e-11	46.5	3e-13	2.7e-10	45.1	22	228	487	726	482	730	0.69	1	1	0.8921933085501859	0.2827868852459016	Peptidase_S9
sp|Q5B037|AXE1_EMENI	304	Peptidase_S9.aln	269	1.8e-10	45.6	4.2e-13	3.7e-10	44.6	23	163	49	193	27	244	0.72	1	1	0.5390334572490706	0.46381578947368424	Peptidase_S9
sp|Q8NJP6|AXE1_TALPU	382	Peptidase_S9.aln	269	2.6e-10	45.1	4.5e-13	4e-10	44.5	23	156	54	191	19	252	0.7	1	1	0.5130111524163569	0.3507853403141361	Peptidase_S9
sp|P13798|ACPH_HUMAN	732	Peptidase_S9.aln	269	3.4e-10	44.7	1e-12	9e-10	43.3	28	230	494	728	480	731	0.73	1	1	0.8736059479553904	0.2773224043715847	Peptidase_S9
sp|Q8Z3B8|DLHH_SALTI	270	Peptidase_S9.aln	269	4e-10	44.5	5.9e-13	5.2e-10	44.1	22	231	45	265	19	268	0.78	1	1	0.8215613382899628	0.7777777777777778	Peptidase_S9
sp|P25154|ACPH_RABIT	737	Peptidase_S9.aln	269	4.2e-10	44.4	1.5e-12	1.3e-09	42.8	22	230	488	733	483	736	0.71	1	1	0.9144981412639405	0.2835820895522388	Peptidase_S9
sp|P80227|ACPH_BOVIN	730	Peptidase_S9.aln	269	5.3e-10	44.1	1.3e-12	1.2e-09	43.0	22	227	485	723	470	728	0.7	1	1	0.8884758364312267	0.2821917808219178	Peptidase_S9
sp|B8YG19|XS20E_NEOPA	671	Peptidase_S9.aln	269	6.8e-10	43.7	1.3e-12	1.1e-09	43.0	19	191	58	212	22	248	0.84	1	1	0.5762081784386617	0.2578241430700447	Peptidase_S9
sp|Q32LS6|ABHDD_DANRE	337	Peptidase_S9.aln	269	1.7e-09	42.4	2.8e-12	2.5e-09	41.9	29	242	110	325	50	332	0.73	1	1	0.8029739776951673	0.6350148367952523	Peptidase_S9
sp|Q08E20|ESTD_BOVIN	282	Peptidase_S9.aln	269	1.9e-09	42.3	2.6e-12	2.3e-09	42.0	18	135	30	168	5	229	0.8	1	1	0.516728624535316	0.41843971631205673	Peptidase_S9
sp|Q9Y871|FAEB_PIREQ	536	Peptidase_S9.aln	269	2.7e-09	41.8	5.6e-12	4.9e-09	40.9	15	185	288	453	273	463	0.79	1	1	0.6171003717472119	0.31902985074626866	Peptidase_S9
sp|Q96W96|AXE1_ASPFI	303	Peptidase_S9.aln	269	3.2e-09	41.5	5.3e-12	4.7e-09	41.0	24	183	50	234	26	248	0.72	1	1	0.6877323420074349	0.528052805280528	Peptidase_S9
sp|A2QZI3|AXE1_ASPNC	303	Peptidase_S9.aln	269	4.5e-09	41.0	7.6e-12	6.7e-09	40.5	24	183	50	234	26	248	0.71	1	1	0.6877323420074349	0.528052805280528	Peptidase_S9
sp|B2RIT0|DPP5_PORG3	684	Peptidase_S9.aln	269	5e-09	40.9	1.1e-11	9.3e-09	40.0	22	232	441	682	414	684	0.7	1	1	0.8996282527881041	0.3084795321637427	Peptidase_S9
sp|P94388|CAH_BACSU	318	Peptidase_S9.aln	269	5.4e-09	40.8	8e-12	7e-09	40.4	13	199	61	289	21	313	0.8	1	1	0.8513011152416357	0.5880503144654088	Peptidase_S9
sp|P10768|ESTD_HUMAN	282	Peptidase_S9.aln	269	6.1e-09	40.6	7.2e-12	6.3e-09	40.6	18	135	30	168	5	276	0.81	1	1	0.516728624535316	0.41843971631205673	Peptidase_S9
sp|P71505|DLHH_METEA	291	Peptidase_S9.aln	269	9.5e-09	40.0	1.5e-11	1.3e-08	39.5	29	231	74	288	57	290	0.8	1	1	0.7992565055762082	0.697594501718213	Peptidase_S9
sp|O05527|PHB_DELAC	494	Peptidase_S9.aln	269	1.1e-08	39.8	6.8e-11	6e-08	37.4	97	245	25	296	7	301	0.77	1	1	1.0111524163568772	0.3016194331983806	Peptidase_S9
sp|Q9R0P3|ESTD_MOUSE	282	Peptidase_S9.aln	269	1.1e-08	39.7	1.8e-11	1.6e-08	39.2	18	134	30	167	2	187	0.76	1	1	0.5130111524163569	0.4148936170212766	Peptidase_S9
sp|G2QND5|FAEB_THET4	291	Peptidase_S9.aln	269	1.4e-08	39.4	2e-11	1.8e-08	39.1	12	145	26	164	2	237	0.78	1	1	0.516728624535316	0.46048109965635736	Peptidase_S9
sp|Q9HGR3|FAEB_NEUCR	292	Peptidase_S9.aln	269	1.4e-08	39.4	1.9e-11	1.6e-08	39.2	24	144	39	163	7	253	0.76	1	1	0.4646840148698885	0.4143835616438356	Peptidase_S9
sp|Q8VZF3|CGEP_ARATH	960	Peptidase_S9.aln	269	1.6e-08	39.2	3e-11	2.6e-08	38.5	79	233	743	913	705	927	0.84	1	1	0.6356877323420075	0.16145833333333334	Peptidase_S9
sp|B0BNE5|ESTD_RAT	282	Peptidase_S9.aln	269	2e-08	38.9	2.8e-11	2.5e-08	38.6	18	135	30	168	4	228	0.79	1	1	0.516728624535316	0.41843971631205673	Peptidase_S9
sp|Q8ZAL4|DLHH_YERPE	267	Peptidase_S9.aln	269	2.2e-08	38.8	3.6e-11	3.1e-08	38.3	24	230	37	254	14	261	0.77	1	1	0.8104089219330854	0.7752808988764045	Peptidase_S9
sp|B8M9H9|FAEB_TALSN	358	Peptidase_S9.aln	269	2.3e-08	38.7	3.7e-11	3.3e-08	38.2	9	189	23	230	1	290	0.71	1	1	0.7732342007434945	0.505586592178771	Peptidase_S9
sp|Q80UX8|ABHDD_MOUSE	337	Peptidase_S9.aln	269	2.5e-08	38.6	4.2e-11	3.7e-08	38.0	23	225	104	311	49	332	0.69	1	1	0.7732342007434945	0.6023738872403561	Peptidase_S9
sp|Q3LS63|DPP5_ASPNG	726	Peptidase_S9.aln	269	2.5e-08	38.6	6.2e-11	5.4e-08	37.5	26	231	464	701	455	711	0.83	1	1	0.8847583643122676	0.2837465564738292	Peptidase_S9
sp|O34493|YTMA_BACSU	257	Peptidase_S9.aln	269	2.6e-08	38.5	4e-11	3.5e-08	38.1	56	211	66	236	42	256	0.74	1	1	0.6356877323420075	0.6070038910505836	Peptidase_S9
sp|Q0C8Z1|AXE1_ASPTN	311	Peptidase_S9.aln	269	2.8e-08	38.4	4.5e-11	3.9e-08	38.0	40	182	75	241	27	257	0.68	1	1	0.620817843866171	0.45980707395498394	Peptidase_S9
sp|B0XRV0|DPP5_ASPFC	721	Peptidase_S9.aln	269	3.2e-08	38.2	6.1e-11	5.3e-08	37.5	23	232	460	698	439	713	0.76	1	1	0.8884758364312267	0.2912621359223301	Peptidase_S9
sp|Q9GJT2|ESTD_PIG	282	Peptidase_S9.aln	269	3.2e-08	38.2	4.4e-11	3.8e-08	38.0	18	134	30	167	5	235	0.79	1	1	0.5130111524163569	0.4148936170212766	Peptidase_S9
sp|P0C959|DPP5_ASPFU	721	Peptidase_S9.aln	269	3.2e-08	38.2	6.1e-11	5.3e-08	37.5	23	232	460	698	439	713	0.76	1	1	0.8884758364312267	0.2912621359223301	Peptidase_S9
sp|A2QZF1|DPP5_ASPNC	726	Peptidase_S9.aln	269	3.6e-08	38.1	8.7e-11	7.7e-08	37.0	26	231	465	701	456	711	0.84	1	1	0.8810408921933085	0.2837465564738292	Peptidase_S9
sp|Q5ZJL8|ABHDD_CHICK	337	Peptidase_S9.aln	269	3.7e-08	38.1	6.8e-11	6e-08	37.4	25	239	106	322	91	332	0.69	1	1	0.8066914498141264	0.6379821958456974	Peptidase_S9
sp|A8PB24|AXE1_COPC7	374	Peptidase_S9.aln	269	4.9e-08	37.6	8e-11	7e-08	37.1	60	147	160	249	108	342	0.71	1	1	0.3345724907063197	0.23529411764705882	Peptidase_S9
sp|Q5J1R3|NOCK_NOCUT	344	Peptidase_S9.aln	269	6.4e-08	37.2	1.2e-10	1e-07	36.6	33	185	88	231	56	237	0.75	1	1	0.5353159851301115	0.44476744186046513	Peptidase_S9
sp|Q6IRP4|ABHDD_XENLA	336	Peptidase_S9.aln	269	1e-07	36.6	1.6e-10	1.4e-07	36.2	23	213	104	299	54	329	0.75	1	1	0.7286245353159851	0.5684523809523809	Peptidase_S9
sp|Q7L211|ABHDD_HUMAN	337	Peptidase_S9.aln	269	1.3e-07	36.2	2.6e-10	2.3e-07	35.4	30	219	111	305	89	331	0.68	1	1	0.724907063197026	0.5637982195845698	Peptidase_S9
sp|Q8RXP6|WAV2_ARATH	308	Peptidase_S9.aln	269	1.5e-07	36.0	2.3e-10	2e-07	35.6	85	213	128	282	77	301	0.79	1	1	0.5762081784386617	0.41883116883116883	Peptidase_S9
sp|Q92194|AXE1_ASPAW	304	Peptidase_S9.aln	269	1.6e-07	36.0	3.3e-10	2.9e-07	35.1	24	149	51	180	30	246	0.72	1	1	0.483271375464684	0.4144736842105263	Peptidase_S9
sp|Q9HE18|FAEB_TALFU	353	Peptidase_S9.aln	269	1.6e-07	35.9	3.8e-10	3.3e-07	34.9	16	149	31	168	2	291	0.72	1	1	0.5130111524163569	0.37960339943342775	Peptidase_S9
sp|Q10MJ1|CGEP_ORYSJ	938	Peptidase_S9.aln	269	2e-07	35.7	3.6e-10	3.1e-07	35.0	78	233	724	894	663	905	0.85	1	1	0.6356877323420075	0.16631130063965885	Peptidase_S9
sp|B8NBM3|DPP5_ASPFN	725	Peptidase_S9.aln	269	2.1e-07	35.6	4.1e-10	3.6e-07	34.8	25	232	463	701	424	711	0.73	1	1	0.8884758364312267	0.2868965517241379	Peptidase_S9
sp|Q9Y8E3|DPP5_ASPOR	725	Peptidase_S9.aln	269	2.1e-07	35.5	4.1e-10	3.6e-07	34.8	25	232	463	701	424	711	0.73	1	1	0.8884758364312267	0.2868965517241379	Peptidase_S9
sp|P29715|BPOA2_KITAU	278	Peptidase_S9.aln	269	2.3e-07	35.5	5.5e-10	4.8e-07	34.4	32	214	24	266	5	277	0.83	1	1	0.9033457249070632	0.658273381294964	Peptidase_S9
sp|O31168|PRXC_KITAU	278	Peptidase_S9.aln	269	2.3e-07	35.4	5.9e-10	5.2e-07	34.3	33	214	25	266	7	277	0.83	1	1	0.8996282527881041	0.6546762589928058	Peptidase_S9
sp|Q8XA81|YHFR_ECO57	284	Peptidase_S9.aln	269	2.6e-07	35.3	3.4e-10	3e-07	35.0	56	212	101	264	29	280	0.69	1	1	0.6096654275092936	0.5528169014084507	Peptidase_S9
sp|P77538|YFHR_ECOLI	284	Peptidase_S9.aln	269	3.3e-07	34.9	4.4e-10	3.8e-07	34.7	56	211	101	256	29	279	0.7	1	1	0.5799256505576208	0.5492957746478874	Peptidase_S9
sp|O06734|YISY_BACSU	268	Peptidase_S9.aln	269	4.1e-07	34.6	6.1e-10	5.3e-07	34.2	54	197	42	238	13	258	0.83	1	1	0.7323420074349443	0.5373134328358209	Peptidase_S9
sp|Q8ZN39|YFHR_SALTY	292	Peptidase_S9.aln	269	4.8e-07	34.4	7e-10	6.2e-07	34.0	85	211	125	265	68	283	0.77	1	1	0.5241635687732342	0.4349315068493151	Peptidase_S9
sp|Q5BA58|DPP5_EMENI	722	Peptidase_S9.aln	269	6.3e-07	34.0	1.5e-09	1.3e-06	33.0	27	232	462	696	450	705	0.79	1	1	0.8736059479553904	0.2853185595567867	Peptidase_S9
sp|Q8Z4M8|YHFR_SALTI	292	Peptidase_S9.aln	269	7.3e-07	33.8	1.1e-09	9.6e-07	33.4	86	211	126	265	69	280	0.77	1	1	0.5204460966542751	0.4315068493150685	Peptidase_S9
sp|Q50681|LIPM_MYCTU	431	Peptidase_S9.aln	269	7.3e-07	33.8	1.2e-09	1e-06	33.3	30	212	177	398	158	424	0.73	1	1	0.8252788104089219	0.4245939675174014	Peptidase_S9
sp|Q5VNW5|IMCL2_ORYSJ	338	Peptidase_S9.aln	269	9.2e-07	33.5	1.6e-09	1.4e-06	32.8	21	185	126	324	82	329	0.84	1	1	0.7397769516728625	0.4881656804733728	Peptidase_S9
